 TRANSITION QUAERUPOLAIRES EANS L'ETAT X EE H2
   PROBABILITES E'EMISSION
  VU  VL  JU        S              Q              O
   5   1   2   0.165145E-07   0.118976E-07   0.508219E-09
   5   1   3   0.304971E-07   0.112595E-07   0.219818E-10
   5   1   4   0.457341E-07   0.111723E-07   0.711935E-09
   5   1   5   0.620871E-07   0.112691E-07   0.198966E-08
   5   1   6   0.789188E-07   0.114596E-07   0.346341E-08
   5   1   7   0.952885E-07   0.116774E-07   0.492429E-08
   5   1   8   0.110225E-06   0.119274E-07   0.621205E-08
   5   1   9   0.122736E-06   0.121366E-07   0.726755E-08
   5   1  10   0.132134E-06   0.123213E-07   0.809508E-08
   5   1  11   0.137746E-06   0.124598E-07   0.871609E-08
   5   1  12   0.139420E-06   0.125290E-07   0.913263E-08
   5   1  13   0.137197E-06   0.125337E-07   0.937186E-08
   5   1  14   0.131425E-06   0.125299E-07   0.943728E-08
   5   1  15   0.122700E-06   0.125600E-07   0.931900E-08
   5   1  16   0.112000E-06   0.127000E-07   0.900400E-08
   5   1  17   0.100100E-06   0.130200E-07   0.848700E-08
   5   1  18   0.876500E-07   0.135800E-07   0.779100E-08
   5   1  19   0.751600E-07   0.143900E-07   0.696900E-08
   5   1  20   0.627500E-07   0.154100E-07   0.609400E-08
   5   1  21   0.503000E-07   0.165200E-07   0.524000E-08
   5   1  22   0.377100E-07   0.175500E-07   0.445100E-08
   5   1  23   0.252100E-07   0.183400E-07   0.373400E-08
   5   2   0   0.000000E+00   0.000000E+00   0.299888E-06
   5   2   1   0.000000E+00   0.206331E-06   0.115277E-06
   5   2   2   0.157273E-06   0.147753E-06   0.578315E-07
   5   2   3   0.253562E-06   0.138409E-06   0.275544E-07
   5   2   4   0.339676E-06   0.135444E-06   0.109624E-07
   5   2   5   0.418929E-06   0.134448E-06   0.284378E-08
   5   2   6   0.489152E-06   0.134314E-06   0.109895E-09
   5   2   7   0.547115E-06   0.134646E-06   0.609491E-09
   5   2   8   0.589874E-06   0.135272E-06   0.279814E-08
   5   2   9   0.615386E-06   0.136103E-06   0.560310E-08
   5   2  10   0.622709E-06   0.137085E-06   0.831008E-08
   5   2  11   0.612063E-06   0.138143E-06   0.105116E-07
   5   2  12   0.584683E-06   0.139226E-06   0.120180E-07
   5   2  13   0.542558E-06   0.140202E-06   0.127951E-07
   5   2  14   0.488085E-06   0.140913E-06   0.129070E-07
   5   2  15   0.424100E-06   0.141200E-06   0.124700E-07
   5   2  16   0.353800E-06   0.140800E-06   0.116000E-07
   5   2  17   0.280600E-06   0.139600E-06   0.104300E-07
   5   2  18   0.208400E-06   0.137500E-06   0.904800E-08
   5   2  19   0.141100E-06   0.134500E-06   0.753800E-08
   5   2  20   0.829700E-07   0.130700E-06   0.598000E-08
   5   2  21   0.378800E-07   0.126000E-06   0.445900E-08
   5   2  22   0.923900E-08   0.120400E-06   0.306300E-08
   5   2  23   0.503300E-10   0.113300E-06   0.187600E-08
   5   3   0   0.000000E+00   0.000000E+00   0.228013E-05
   5   3   1   0.000000E+00   0.117156E-05   0.112158E-05
   5   3   2   0.711668E-06   0.832688E-06   0.770169E-06
   5   3   3   0.100576E-05   0.771341E-06   0.559177E-06
   5   3   4   0.119408E-05   0.743526E-06   0.410459E-06
   5   3   5   0.131455E-05   0.724131E-06   0.300599E-06
   5   3   6   0.137503E-05   0.706892E-06   0.218723E-06
   5   3   7   0.137826E-05   0.689369E-06   0.158004E-06
   5   3   8   0.132801E-05   0.670539E-06   0.113429E-06
   5   3   9   0.122983E-05   0.649851E-06   0.810804E-07
   5   3  10   0.109241E-05   0.627013E-06   0.578650E-07
   5   3  11   0.926678E-06   0.601890E-06   0.413639E-07
   5   3  12   0.745089E-06   0.574461E-06   0.297230E-07
   5   3  13   0.560764E-06   0.544787E-06   0.215491E-07
   5   3  14   0.386571E-06   0.512977E-06   0.158155E-07
   5   3  15   0.234300E-06   0.479200E-06   0.117800E-07
   5   3  16   0.114200E-06   0.443400E-06   0.890800E-08
   5   3  17   0.343600E-07   0.406000E-06   0.683100E-08
   5   3  18   0.792500E-09   0.366800E-06   0.529200E-08
   5   3  19   0.174100E-07   0.326100E-06   0.411300E-08
   5   3  20   0.859800E-07   0.284200E-06   0.317800E-08
   5   3  21   0.205800E-06   0.241600E-06   0.241100E-08
   5   3  22   0.373100E-06   0.198700E-06   0.176600E-08
   5   3  23   0.579100E-06   0.156400E-06   0.121700E-08
   5   4   0   0.000000E+00   0.000000E+00   0.110492E-05
   5   4   1   0.000000E+00   0.517224E-06   0.563200E-06
   5   4   2   0.275611E-06   0.362378E-06   0.393477E-06
   5   4   3   0.344814E-06   0.328505E-06   0.285216E-06
   5   4   4   0.350954E-06   0.307691E-06   0.204802E-06
   5   4   5   0.317437E-06   0.289111E-06   0.143472E-06
   5   4   6   0.256983E-06   0.270304E-06   0.973460E-07
   5   4   7   0.181890E-06   0.250646E-06   0.636612E-07
   5   4   8   0.105582E-06   0.230099E-06   0.399471E-07
   5   4   9   0.420950E-07   0.208858E-06   0.239279E-07
   5   4  10   0.493927E-08   0.187220E-06   0.135903E-07
   5   4  11   0.584970E-08   0.165528E-06   0.725273E-08
   5   4  12   0.537116E-07   0.144137E-06   0.359021E-08
   5   4  13   0.153777E-06   0.123399E-06   0.161771E-08
   5   4  14   0.307198E-06   0.103645E-06   0.644687E-09
   5   4  15   0.510800E-06   0.851800E-07   0.216900E-09
   5   4  16   0.757400E-06   0.682600E-07   0.567100E-10
   5   4  17   0.103500E-05   0.531100E-07   0.975200E-11
   5   4  18   0.133000E-05   0.398700E-07   0.718900E-12
   5   4  19   0.162300E-05   0.286400E-07   0.334600E-14
   5   4  20   0.189300E-05   0.194500E-07   0.000000E+00
   5   4  21   0.211900E-05   0.122600E-07   0.000000E+00
   5   4  22   0.227500E-05   0.695700E-08   0.000000E+00
   5   4  23   0.233500E-05   0.336600E-08   0.000000E+00
   5   5   2   0.164160E-10   0.000000E+00   0.000000E+00
   5   5   3   0.262081E-09   0.000000E+00   0.000000E+00
   5   5   4   0.148663E-08   0.000000E+00   0.000000E+00
   5   5   5   0.517205E-08   0.000000E+00   0.000000E+00
   5   5   6   0.134609E-07   0.000000E+00   0.000000E+00
   5   5   7   0.288344E-07   0.000000E+00   0.000000E+00
   5   5   8   0.536330E-07   0.000000E+00   0.000000E+00
   5   5   9   0.895454E-07   0.000000E+00   0.000000E+00
   5   5  10   0.137185E-06   0.000000E+00   0.000000E+00
   5   5  11   0.195839E-06   0.000000E+00   0.000000E+00
   5   5  12   0.263412E-06   0.000000E+00   0.000000E+00
   5   5  13   0.336567E-06   0.000000E+00   0.000000E+00
   5   5  14   0.411009E-06   0.000000E+00   0.000000E+00
   5   5  15   0.481900E-06   0.000000E+00   0.000000E+00
   5   5  16   0.544000E-06   0.000000E+00   0.000000E+00
   5   5  17   0.592800E-06   0.000000E+00   0.000000E+00
   5   5  18   0.623800E-06   0.000000E+00   0.000000E+00
   5   5  19   0.634000E-06   0.000000E+00   0.000000E+00
   5   5  20   0.621100E-06   0.000000E+00   0.000000E+00
   5   5  21   0.584700E-06   0.000000E+00   0.000000E+00
   5   5  22   0.525800E-06   0.000000E+00   0.000000E+00
   5   5  23   0.447000E-06   0.000000E+00   0.000000E+00
   6   0   0   0.000000E+00   0.000000E+00   0.582303E-12
   6   0   1   0.000000E+00   0.836619E-10   0.295630E-10
   6   0   2   0.180948E-09   0.605025E-10   0.960759E-10
   6   0   3   0.437542E-09   0.575234E-10   0.175371E-09
   6   0   4   0.793416E-09   0.573851E-10   0.254216E-09
   6   0   5   0.124594E-08   0.582891E-10   0.324603E-09
   6   0   6   0.178047E-08   0.597299E-10   0.382649E-09
   6   0   7   0.237294E-08   0.614923E-10   0.427333E-09
   6   0   8   0.299280E-08   0.634844E-10   0.459285E-09
   6   0   9   0.360731E-08   0.658291E-10   0.479312E-09
   6   0  10   0.418644E-08   0.689771E-10   0.487289E-09
   6   0  11   0.470810E-08   0.739477E-10   0.481537E-09
   6   0  12   0.516163E-08   0.825277E-10   0.459034E-09
   6   0  13   0.554881E-08   0.974371E-10   0.416931E-09
   6   0  14   0.587948E-08   0.122333E-09   0.355339E-09
   6   0  15   0.616100E-08   0.161100E-09   0.280100E-09
   6   0  16   0.638600E-08   0.215600E-09   0.203000E-09
   6   0  17   0.651100E-08   0.281100E-09   0.138300E-09
   6   0  18   0.645900E-08   0.342100E-09   0.960700E-10
   6   0  19   0.613200E-08   0.374400E-09   0.797300E-10
   6   0  20   0.546800E-08   0.357900E-09   0.901000E-10
   6   0  21   0.450000E-08   0.294900E-09   0.129800E-09
   6   0  22   0.339200E-08   0.215200E-09   0.194900E-09
   6   1   0   0.000000E+00   0.000000E+00   0.141508E-08
   6   1   1   0.000000E+00   0.303173E-08   0.461254E-10
   6   1   2   0.400337E-08   0.221843E-08   0.136073E-09
   6   1   3   0.829718E-08   0.213384E-08   0.666258E-09
   6   1   4   0.135943E-07   0.217029E-08   0.135399E-08
   6   1   5   0.197993E-07   0.226050E-08   0.204446E-08
   6   1   6   0.267362E-07   0.239497E-08   0.262197E-08
   6   1   7   0.340635E-07   0.255510E-08   0.305778E-08
   6   1   8   0.414153E-07   0.275780E-08   0.332358E-08
   6   1   9   0.482840E-07   0.296509E-08   0.344063E-08
   6   1  10   0.543662E-07   0.318538E-08   0.345713E-08
   6   1  11   0.590499E-07   0.339278E-08   0.342285E-08
   6   1  12   0.621215E-07   0.354398E-08   0.337755E-08
   6   1  13   0.632836E-07   0.360430E-08   0.336590E-08
   6   1  14   0.623359E-07   0.357327E-08   0.341092E-08
   6   1  15   0.593600E-07   0.345000E-08   0.351100E-08
   6   1  16   0.548100E-07   0.327400E-08   0.363700E-08
   6   1  17   0.492500E-07   0.311400E-08   0.372900E-08
   6   1  18   0.433600E-07   0.305200E-08   0.371800E-08
   6   1  19   0.377500E-07   0.316200E-08   0.355300E-08
   6   1  20   0.327100E-07   0.349800E-08   0.323300E-08
   6   1  21   0.281300E-07   0.406300E-08   0.281500E-08
   6   1  22   0.235200E-07   0.478400E-08   0.237900E-08
   6   2   0   0.000000E+00   0.000000E+00   0.453365E-07
   6   2   1   0.000000E+00   0.442989E-07   0.116148E-07
   6   2   2   0.418155E-07   0.317903E-07   0.263978E-08
   6   2   3   0.748577E-07   0.298676E-07   0.607406E-10
   6   2   4   0.109235E-06   0.293216E-07   0.782359E-09
   6   2   5   0.144791E-06   0.291960E-07   0.331095E-08
   6   2   6   0.179919E-06   0.292493E-07   0.667935E-08
   6   2   7   0.212621E-06   0.293902E-07   0.102280E-07
   6   2   8   0.240965E-06   0.295995E-07   0.135228E-07
   6   2   9   0.263345E-06   0.298881E-07   0.163011E-07
   6   2  10   0.278729E-06   0.302881E-07   0.183752E-07
   6   2  11   0.286691E-06   0.308364E-07   0.196898E-07
   6   2  12   0.287368E-06   0.316487E-07   0.202440E-07
   6   2  13   0.281243E-06   0.327579E-07   0.200984E-07
   6   2  14   0.269203E-06   0.341871E-07   0.193676E-07
   6   2  15   0.251800E-06   0.359000E-07   0.182100E-07
   6   2  16   0.229700E-06   0.377900E-07   0.167800E-07
   6   2  17   0.203000E-06   0.396700E-07   0.152300E-07
   6   2  18   0.172400E-06   0.413700E-07   0.136600E-07
   6   2  19   0.138800E-06   0.427300E-07   0.120900E-07
   6   2  20   0.103700E-06   0.436900E-07   0.104900E-07
   6   2  21   0.696600E-07   0.442900E-07   0.882200E-08
   6   2  22   0.394300E-07   0.445000E-07   0.705000E-08
   6   3   0   0.000000E+00   0.000000E+00   0.576867E-06
   6   3   1   0.000000E+00   0.373414E-06   0.234881E-06
   6   3   2   0.272309E-06   0.267549E-06   0.127923E-06
   6   3   3   0.428636E-06   0.250790E-06   0.692295E-07
   6   3   4   0.562162E-06   0.245649E-06   0.343706E-07
   6   3   5   0.679936E-06   0.244110E-06   0.144540E-07
   6   3   6   0.779391E-06   0.244025E-06   0.431880E-08
   6   3   7   0.856028E-06   0.244664E-06   0.430201E-09
   6   3   8   0.905749E-06   0.245560E-06   0.244555E-09
   6   3   9   0.925931E-06   0.246393E-06   0.196347E-08
   6   3  10   0.915680E-06   0.246890E-06   0.437532E-08
   6   3  11   0.876026E-06   0.246803E-06   0.671924E-08
   6   3  12   0.809828E-06   0.245929E-06   0.856345E-08
   6   3  13   0.721590E-06   0.244126E-06   0.970403E-08
   6   3  14   0.617153E-06   0.241325E-06   0.100890E-07
   6   3  15   0.503300E-06   0.237500E-06   0.976700E-08
   6   3  16   0.387200E-06   0.232700E-06   0.885600E-08
   6   3  17   0.275900E-06   0.226700E-06   0.751900E-08
   6   3  18   0.176100E-06   0.219400E-06   0.594200E-08
   6   3  19   0.937100E-07   0.210400E-06   0.431300E-08
   6   3  20   0.342600E-07   0.199000E-06   0.280300E-08
   6   3  21   0.322900E-08   0.184500E-06   0.154800E-08
   6   3  22   0.609400E-08   0.166000E-06   0.645700E-09
   6   4   0   0.000000E+00   0.000000E+00   0.281483E-05
   6   4   1   0.000000E+00   0.140653E-05   0.140942E-05
   6   4   2   0.830835E-06   0.997612E-06   0.985349E-06
   6   4   3   0.115019E-05   0.921106E-06   0.728703E-06
   6   4   4   0.133561E-05   0.884092E-06   0.545181E-06
   6   4   5   0.143478E-05   0.856462E-06   0.407361E-06
   6   4   6   0.146045E-05   0.830656E-06   0.302794E-06
   6   4   7   0.141941E-05   0.803987E-06   0.223772E-06
   6   4   8   0.131951E-05   0.775309E-06   0.164588E-06
   6   4   9   0.117136E-05   0.744074E-06   0.120702E-06
   6   4  10   0.988332E-06   0.710012E-06   0.884467E-07
   6   4  11   0.785753E-06   0.672995E-06   0.648995E-07
   6   4  12   0.579797E-06   0.632983E-06   0.477757E-07
   6   4  13   0.386387E-06   0.590000E-06   0.353298E-07
   6   4  14   0.220263E-06   0.544145E-06   0.262562E-07
   6   4  15   0.942700E-07   0.495600E-06   0.196000E-07
   6   4  16   0.188200E-07   0.444700E-06   0.146500E-07
   6   4  17   0.142100E-08   0.391900E-06   0.109300E-07
   6   4  18   0.461600E-07   0.337800E-06   0.807500E-08
   6   4  19   0.153000E-06   0.283100E-06   0.584700E-08
   6   4  20   0.316900E-06   0.228800E-06   0.408400E-08
   6   4  21   0.526200E-06   0.176000E-06   0.268800E-08
   6   4  22   0.759400E-06   0.126200E-06   0.160400E-08
   6   5   0   0.000000E+00   0.000000E+00   0.833682E-06
   6   5   1   0.000000E+00   0.378667E-06   0.430051E-06
   6   5   2   0.192836E-06   0.264244E-06   0.302580E-06
   6   5   3   0.230579E-06   0.238096E-06   0.219903E-06
   6   5   4   0.220442E-06   0.221176E-06   0.157653E-06
   6   5   5   0.182257E-06   0.205625E-06   0.109808E-06
   6   5   6   0.128564E-06   0.189729E-06   0.737570E-07
   6   5   7   0.718233E-07   0.173131E-06   0.475258E-07
   6   5   8   0.250761E-07   0.155909E-06   0.292270E-07
   6   5   9   0.107928E-08   0.138314E-06   0.170484E-07
   6   5  10   0.110361E-07   0.120669E-06   0.935497E-08
   6   5  11   0.633577E-07   0.103325E-06   0.477352E-08
   6   5  12   0.162683E-06   0.866268E-07   0.222719E-08
   6   5  13   0.309253E-06   0.708966E-07   0.926251E-09
   6   5  14   0.498664E-06   0.564200E-07   0.329693E-09
   6   5  15   0.721900E-06   0.434300E-07   0.936500E-10
   6   5  16   0.965900E-06   0.321200E-07   0.185400E-10
   6   5  17   0.121400E-05   0.225800E-07   0.185800E-11
   6   5  18   0.144500E-05   0.148800E-07   0.299800E-13
   6   5  19   0.163700E-05   0.898100E-08   0.000000E+00
   6   5  20   0.176800E-05   0.477300E-08   0.000000E+00
   6   5  21   0.181100E-05   0.207000E-08   0.000000E+00
   6   5  22   0.174400E-05   0.607300E-09   0.000000E+00
   6   6   2   0.130188E-10   0.000000E+00   0.000000E+00
   6   6   3   0.207107E-09   0.000000E+00   0.000000E+00
   6   6   4   0.116855E-08   0.000000E+00   0.000000E+00
   6   6   5   0.403660E-08   0.000000E+00   0.000000E+00
   6   6   6   0.104125E-07   0.000000E+00   0.000000E+00
   6   6   7   0.220659E-07   0.000000E+00   0.000000E+00
   6   6   8   0.405268E-07   0.000000E+00   0.000000E+00
   6   6   9   0.666775E-07   0.000000E+00   0.000000E+00
   6   6  10   0.100444E-06   0.000000E+00   0.000000E+00
   6   6  11   0.140653E-06   0.000000E+00   0.000000E+00
   6   6  12   0.185072E-06   0.000000E+00   0.000000E+00
   6   6  13   0.230609E-06   0.000000E+00   0.000000E+00
   6   6  14   0.273626E-06   0.000000E+00   0.000000E+00
   6   6  15   0.310300E-06   0.000000E+00   0.000000E+00
   6   6  16   0.337100E-06   0.000000E+00   0.000000E+00
   6   6  17   0.350900E-06   0.000000E+00   0.000000E+00
   6   6  18   0.349700E-06   0.000000E+00   0.000000E+00
   6   6  19   0.332500E-06   0.000000E+00   0.000000E+00
   6   6  20   0.299700E-06   0.000000E+00   0.000000E+00
   6   6  21   0.253200E-06   0.000000E+00   0.000000E+00
   6   6  22   0.196400E-06   0.000000E+00   0.000000E+00
   7   0   0   0.000000E+00   0.000000E+00   0.811725E-13
   7   0   1   0.000000E+00   0.268436E-10   0.150047E-10
   7   0   2   0.653042E-10   0.193354E-10   0.410889E-10
   7   0   3   0.163738E-09   0.183114E-10   0.698467E-10
   7   0   4   0.304707E-09   0.182156E-10   0.965177E-10
   7   0   5   0.488411E-09   0.184668E-10   0.118628E-09
   7   0   6   0.709856E-09   0.188368E-10   0.135705E-09
   7   0   7   0.959279E-09   0.190946E-10   0.148827E-09
   7   0   8   0.122255E-08   0.189215E-10   0.160158E-09
   7   0   9   0.148253E-08   0.179845E-10   0.172238E-09
   7   0  10   0.172130E-08   0.160836E-10   0.187192E-09
   7   0  11   0.192415E-08   0.134083E-10   0.205674E-09
   7   0  12   0.208412E-08   0.106408E-10   0.225436E-09
   7   0  13   0.220665E-08   0.879822E-11   0.240023E-09
   7   0  14   0.231090E-08   0.909944E-11   0.239186E-09
   7   0  15   0.242600E-08   0.136600E-10   0.213200E-09
   7   0  16   0.257900E-08   0.272700E-10   0.160900E-09
   7   0  17   0.277900E-08   0.576200E-10   0.961200E-10
   7   0  18   0.299200E-08   0.109000E-09   0.418700E-10
   7   0  19   0.312100E-08   0.169400E-09   0.129500E-10
   7   0  20   0.302200E-08   0.205600E-09   0.496900E-11
   7   1   0   0.000000E+00   0.000000E+00   0.983412E-11
   7   1   1   0.000000E+00   0.475278E-09   0.133234E-09
   7   1   2   0.972931E-09   0.345690E-09   0.475750E-09
   7   1   3   0.231079E-08   0.330741E-09   0.894762E-09
   7   1   4   0.414550E-08   0.336022E-09   0.131073E-08
   7   1   5   0.645344E-08   0.353240E-09   0.166660E-08
   7   1   6   0.919387E-08   0.384434E-09   0.192677E-08
   7   1   7   0.122745E-07   0.431637E-09   0.206347E-08
   7   1   8   0.156027E-07   0.504879E-09   0.207631E-08
   7   1   9   0.190167E-07   0.606709E-09   0.197430E-08
   7   1  10   0.224532E-07   0.747217E-09   0.178086E-08
   7   1  11   0.256338E-07   0.927251E-09   0.153366E-08
   7   1  12   0.284298E-07   0.113124E-08   0.128467E-08
   7   1  13   0.305546E-07   0.132717E-08   0.107668E-08
   7   1  14   0.316227E-07   0.147286E-08   0.943127E-09
   7   1  15   0.313300E-07   0.151700E-08   0.903000E-09
   7   1  16   0.296400E-07   0.143500E-08   0.961900E-09
   7   1  17   0.267100E-07   0.125500E-08   0.110800E-08
   7   1  18   0.230300E-07   0.104800E-08   0.129900E-08
   7   1  19   0.193000E-07   0.898500E-09   0.145400E-08
   7   1  20   0.160600E-07   0.871600E-09   0.148300E-08
   7   2   0   0.000000E+00   0.000000E+00   0.882729E-08
   7   2   1   0.000000E+00   0.121142E-07   0.130758E-08
   7   2   2   0.135746E-07   0.877118E-08   0.120896E-10
   7   2   3   0.263361E-07   0.834220E-08   0.466575E-09
   7   2   4   0.409777E-07   0.830576E-08   0.173844E-08
   7   2   5   0.572806E-07   0.838605E-08   0.334722E-08
   7   2   6   0.744389E-07   0.849719E-08   0.500630E-08
   7   2   7   0.913737E-07   0.858699E-08   0.655940E-08
   7   2   8   0.106922E-06   0.862660E-08   0.793933E-08
   7   2   9   0.119969E-06   0.859804E-08   0.912292E-08
   7   2  10   0.129694E-06   0.850011E-08   0.101032E-07
   7   2  11   0.135644E-06   0.835653E-08   0.108653E-07
   7   2  12   0.137809E-06   0.824683E-08   0.113711E-07
   7   2  13   0.136558E-06   0.824454E-08   0.115680E-07
   7   2  14   0.132790E-06   0.844243E-08   0.114138E-07
   7   2  15   0.127200E-06   0.892100E-08   0.109100E-07
   7   2  16   0.120100E-06   0.972400E-08   0.101200E-07
   7   2  17   0.111700E-06   0.108200E-07   0.916900E-08
   7   2  18   0.101300E-06   0.121100E-07   0.818200E-08
   7   2  19   0.881700E-07   0.134000E-07   0.724800E-08
   7   2  20   0.719700E-07   0.144900E-07   0.637500E-08
   7   3   0   0.000000E+00   0.000000E+00   0.969073E-07
   7   3   1   0.000000E+00   0.880512E-07   0.272643E-07
   7   3   2   0.795990E-07   0.633184E-07   0.779077E-08
   7   3   3   0.139546E-06   0.596575E-07   0.856349E-09
   7   3   4   0.200212E-06   0.589093E-07   0.365427E-09
   7   3   5   0.261576E-06   0.592205E-07   0.345080E-08
   7   3   6   0.321312E-06   0.600480E-07   0.823204E-08
   7   3   7   0.376303E-06   0.613641E-07   0.134189E-07
   7   3   8   0.423148E-06   0.630854E-07   0.181691E-07
   7   3   9   0.459543E-06   0.651761E-07   0.220030E-07
   7   3  10   0.483345E-06   0.675771E-07   0.247237E-07
   7   3  11   0.493169E-06   0.701864E-07   0.263344E-07
   7   3  12   0.488273E-06   0.728585E-07   0.269566E-07
   7   3  13   0.468601E-06   0.754257E-07   0.267556E-07
   7   3  14   0.434894E-06   0.777381E-07   0.258847E-07
   7   3  15   0.388800E-06   0.797100E-07   0.244600E-07
   7   3  16   0.333100E-06   0.813200E-07   0.225400E-07
   7   3  17   0.271100E-06   0.826300E-07   0.201800E-07
   7   3  18   0.206900E-06   0.836400E-07   0.174300E-07
   7   3  19   0.144400E-06   0.841800E-07   0.143700E-07
   7   3  20   0.876100E-07   0.837900E-07   0.111000E-07
   7   4   0   0.000000E+00   0.000000E+00   0.968727E-06
   7   4   1   0.000000E+00   0.590241E-06   0.415670E-06
   7   4   2   0.410681E-06   0.422076E-06   0.242389E-06
   7   4   3   0.628813E-06   0.394546E-06   0.144098E-06
   7   4   4   0.803345E-06   0.384885E-06   0.822999E-07
   7   4   5   0.947137E-06   0.380372E-06   0.435422E-07
   7   4   6   0.105787E-05   0.377700E-06   0.203860E-07
   7   4   7   0.113083E-05   0.375594E-06   0.774182E-08
   7   4   8   0.116236E-05   0.373422E-06   0.187889E-08
   7   4   9   0.115125E-05   0.370810E-06   0.636413E-10
   7   4  10   0.109921E-05   0.367503E-06   0.360526E-09
   7   4  11   0.101075E-05   0.363299E-06   0.147601E-08
   7   4  12   0.892726E-06   0.357990E-06   0.261935E-08
   7   4  13   0.753627E-06   0.351324E-06   0.337709E-08
   7   4  14   0.602890E-06   0.342969E-06   0.360334E-08
   7   4  15   0.450300E-06   0.332500E-06   0.332800E-08
   7   4  16   0.305800E-06   0.319400E-06   0.268400E-08
   7   4  17   0.179100E-06   0.303000E-06   0.185400E-08
   7   4  18   0.798500E-07   0.282500E-06   0.103300E-08
   7   4  19   0.175400E-07   0.257200E-06   0.392000E-09
   7   4  20   0.645800E-09   0.225700E-06   0.488900E-10
   7   5   0   0.000000E+00   0.000000E+00   0.310730E-05
   7   5   1   0.000000E+00   0.150887E-05   0.158357E-05
   7   5   2   0.864931E-06   0.106762E-05   0.112632E-05
   7   5   3   0.117051E-05   0.982192E-06   0.847239E-06
   7   5   4   0.132522E-05   0.938113E-06   0.644694E-06
   7   5   5   0.138357E-05   0.903096E-06   0.489945E-06
   7   5   6   0.136278E-05   0.869054E-06   0.370367E-06
   7   5   7   0.127417E-05   0.833140E-06   0.278265E-06
   7   5   8   0.113023E-05   0.794161E-06   0.207908E-06
   7   5   9   0.946148E-06   0.751590E-06   0.154648E-06
   7   5  10   0.739521E-06   0.705234E-06   0.114653E-06
   7   5  11   0.529264E-06   0.655113E-06   0.847951E-07
   7   5  12   0.334297E-06   0.601411E-06   0.625775E-07
   7   5  13   0.172227E-06   0.544472E-06   0.460505E-07
   7   5  14   0.581459E-07   0.484794E-06   0.337251E-07
   7   5  15   0.359200E-08   0.423000E-06   0.244900E-07
   7   5  16   0.156300E-07   0.360100E-06   0.175200E-07
   7   5  17   0.958900E-07   0.296900E-06   0.122300E-07
   7   5  18   0.239400E-06   0.235000E-06   0.821600E-08
   7   5  19   0.432600E-06   0.175800E-06   0.519000E-08
   7   5  20   0.649900E-06   0.121500E-06   0.297000E-08
   7   6   0   0.000000E+00   0.000000E+00   0.560321E-06
   7   6   1   0.000000E+00   0.244053E-06   0.293734E-06
   7   6   2   0.116363E-06   0.169324E-06   0.208600E-06
   7   6   3   0.129800E-06   0.151227E-06   0.152104E-06
   7   6   4   0.111995E-06   0.138797E-06   0.108796E-06
   7   6   5   0.787008E-07   0.127048E-06   0.751871E-07
   7   6   6   0.413839E-07   0.114975E-06   0.498197E-07
   7   6   7   0.114355E-07   0.102457E-06   0.314665E-07
   7   6   8   0.308640E-10   0.896545E-07   0.188282E-07
   7   6   9   0.170187E-07   0.768370E-07   0.105898E-07
   7   6  10   0.696496E-07   0.643082E-07   0.553859E-08
   7   6  11   0.161493E-06   0.523728E-07   0.265198E-08
   7   6  12   0.291706E-06   0.413122E-07   0.113547E-08
   7   6  13   0.454727E-06   0.313690E-07   0.418813E-09
   7   6  14   0.640359E-06   0.227334E-07   0.124900E-09
   7   6  15   0.834200E-06   0.155300E-07   0.267100E-10
   7   6  16   0.101800E-05   0.981800E-08   0.312300E-11
   7   6  17   0.117300E-05   0.556800E-08   0.832000E-13
   7   6  18   0.127500E-05   0.267800E-08   0.000000E+00
   7   6  19   0.130600E-05   0.964100E-09   0.000000E+00
   7   6  20   0.124400E-05   0.174500E-09   0.000000E+00
   7   7   2   0.974484E-11   0.000000E+00   0.000000E+00
   7   7   3   0.154347E-09   0.000000E+00   0.000000E+00
   7   7   4   0.865143E-09   0.000000E+00   0.000000E+00
   7   7   5   0.296219E-08   0.000000E+00   0.000000E+00
   7   7   6   0.755605E-08   0.000000E+00   0.000000E+00
   7   7   7   0.157960E-07   0.000000E+00   0.000000E+00
   7   7   8   0.285452E-07   0.000000E+00   0.000000E+00
   7   7   9   0.460794E-07   0.000000E+00   0.000000E+00
   7   7  10   0.678924E-07   0.000000E+00   0.000000E+00
   7   7  11   0.926506E-07   0.000000E+00   0.000000E+00
   7   7  12   0.118304E-06   0.000000E+00   0.000000E+00
   7   7  13   0.142326E-06   0.000000E+00   0.000000E+00
   7   7  14   0.162033E-06   0.000000E+00   0.000000E+00
   7   7  15   0.174900E-06   0.000000E+00   0.000000E+00
   7   7  16   0.179100E-06   0.000000E+00   0.000000E+00
   7   7  17   0.173300E-06   0.000000E+00   0.000000E+00
   7   7  18   0.157500E-06   0.000000E+00   0.000000E+00
   7   7  19   0.132800E-06   0.000000E+00   0.000000E+00
   7   7  20   0.101500E-06   0.000000E+00   0.000000E+00
   8   0   0   0.000000E+00   0.000000E+00   0.980137E-13
   8   0   1   0.000000E+00   0.111521E-10   0.686300E-11
   8   0   2   0.282891E-10   0.798671E-11   0.178142E-10
   8   0   3   0.720120E-10   0.757073E-11   0.290516E-10
   8   0   4   0.135899E-09   0.766876E-11   0.381800E-10
   8   0   5   0.221114E-09   0.814140E-11   0.438657E-10
   8   0   6   0.326825E-09   0.900199E-11   0.458599E-10
   8   0   7   0.450037E-09   0.102166E-10   0.449433E-10
