 TRANSITION QUAERUPOLAIRES EANS L'ETAT X EE H2
   PROBABILITES E'EMISSION
  VU  VL  JU        S              Q              O
   2   0  11   0.310194E-06   0.112031E-06   0.146576E-08
   2   0  12   0.283225E-06   0.109648E-06   0.759147E-09
   2   0  13   0.250248E-06   0.107014E-06   0.371029E-09
   2   0  14   0.213299E-06   0.104128E-06   0.170195E-09
   2   0  15   0.174500E-06   0.101000E-06   0.733600E-10
   2   0  16   0.135900E-06   0.976200E-07   0.303800E-10
   2   0  17   0.995400E-07   0.940000E-07   0.130200E-10
   2   0  18   0.669900E-07   0.901600E-07   0.679400E-11
   2   0  19   0.397200E-07   0.860800E-07   0.522000E-11
   2   0  20   0.189100E-07   0.817600E-07   0.598800E-11
   2   0  21   0.545100E-08   0.771800E-07   0.853400E-11
   2   0  22   0.737900E-10   0.723200E-07   0.126800E-10
   2   0  23   0.336600E-08   0.671700E-07   0.180000E-10
   2   0  24   0.158500E-07   0.617200E-07   0.237100E-10
   2   0  25   0.379800E-07   0.559800E-07   0.288000E-10
   2   0  26   0.701800E-07   0.500000E-07   0.322800E-10
   2   0  27   0.112700E-06   0.438300E-07   0.333200E-10
   2   0  28   0.165500E-06   0.375600E-07   0.314800E-10
   2   1   0   0.000000E+00   0.000000E+00   0.128791E-05
   2   1   1   0.000000E+00   0.638557E-06   0.641041E-06
   2   1   2   0.369356E-06   0.450534E-06   0.441346E-06
   2   1   3   0.499190E-06   0.412786E-06   0.317934E-06
   2   1   4   0.561406E-06   0.392215E-06   0.228716E-06
   2   1   5   0.578822E-06   0.375296E-06   0.161801E-06
   2   1   6   0.559119E-06   0.358782E-06   0.111766E-06
   2   1   7   0.508120E-06   0.341660E-06   0.750592E-07
   2   1   8   0.432747E-06   0.323627E-06   0.488349E-07
   2   1   9   0.341546E-06   0.304673E-06   0.306700E-07
   2   1  10   0.244364E-06   0.284902E-06   0.185132E-07
   2   1  11   0.151703E-06   0.264485E-06   0.106812E-07
   2   1  12   0.740025E-07   0.243656E-06   0.584668E-08
   2   1  13   0.207678E-07   0.222634E-06   0.300533E-08
   2   1  14   0.627290E-10   0.201651E-06   0.142966E-08
   2   1  15   0.180500E-07   0.180900E-06   0.616000E-09
   2   1  16   0.787400E-07   0.160700E-06   0.232600E-09
   2   1  17   0.183900E-06   0.141200E-06   0.728200E-10
   2   1  18   0.332900E-06   0.122500E-06   0.171000E-10
   2   1  19   0.523300E-06   0.105000E-06   0.242800E-11
   2   1  20   0.750300E-06   0.885700E-07   0.112600E-12
   2   1  21   0.100700E-05   0.735100E-07   0.242800E-16
   2   1  22   0.128700E-05   0.598600E-07   0.000000E+00
   2   1  23   0.157900E-05   0.476800E-07   0.000000E+00
   2   1  24   0.187400E-05   0.369900E-07   0.000000E+00
   2   1  25   0.216000E-05   0.278000E-07   0.000000E+00
   2   1  26   0.242400E-05   0.200800E-07   0.000000E+00
   2   1  27   0.265500E-05   0.137800E-07   0.000000E+00
   2   1  28   0.283700E-05   0.882700E-08   0.000000E+00
   2   2   2   0.256896E-10   0.000000E+00   0.000000E+00
   2   2   3   0.413557E-09   0.000000E+00   0.000000E+00
   2   2   4   0.237509E-08   0.000000E+00   0.000000E+00
   2   2   5   0.839932E-08   0.000000E+00   0.000000E+00
   2   2   6   0.223071E-07   0.000000E+00   0.000000E+00
   2   2   7   0.489458E-07   0.000000E+00   0.000000E+00
   2   2   8   0.936028E-07   0.000000E+00   0.000000E+00
   2   2   9   0.161273E-06   0.000000E+00   0.000000E+00
   2   2  10   0.255924E-06   0.000000E+00   0.000000E+00
   2   2  11   0.379890E-06   0.000000E+00   0.000000E+00
   2   2  12   0.533471E-06   0.000000E+00   0.000000E+00
   2   2  13   0.714770E-06   0.000000E+00   0.000000E+00
   2   2  14   0.919750E-06   0.000000E+00   0.000000E+00
   2   2  15   0.114200E-05   0.000000E+00   0.000000E+00
   2   2  16   0.137600E-05   0.000000E+00   0.000000E+00
   2   2  17   0.161100E-05   0.000000E+00   0.000000E+00
   2   2  18   0.183900E-05   0.000000E+00   0.000000E+00
   2   2  19   0.205100E-05   0.000000E+00   0.000000E+00
   2   2  20   0.223800E-05   0.000000E+00   0.000000E+00
   2   2  21   0.239200E-05   0.000000E+00   0.000000E+00
   2   2  22   0.250600E-05   0.000000E+00   0.000000E+00
   2   2  23   0.257500E-05   0.000000E+00   0.000000E+00
   2   2  24   0.259400E-05   0.000000E+00   0.000000E+00
   2   2  25   0.255900E-05   0.000000E+00   0.000000E+00
   2   2  26   0.246900E-05   0.000000E+00   0.000000E+00
   2   2  27   0.232400E-05   0.000000E+00   0.000000E+00
   2   2  28   0.212500E-05   0.000000E+00   0.000000E+00
   3   0   0   0.000000E+00   0.000000E+00   0.333775E-07
   3   0   1   0.000000E+00   0.259148E-07   0.113972E-07
   3   0   2   0.215031E-07   0.185945E-07   0.476662E-08
   3   0   3   0.363208E-07   0.174667E-07   0.163654E-08
   3   0   4   0.507181E-07   0.171518E-07   0.289888E-09
   3   0   5   0.649801E-07   0.170921E-07   0.601776E-11
   3   0   6   0.786307E-07   0.171400E-07   0.344948E-09
   3   0   7   0.910069E-07   0.172418E-07   0.100501E-08
   3   0   8   0.101433E-06   0.173678E-07   0.177914E-08
   3   0   9   0.109334E-06   0.174993E-07   0.253218E-08
   3   0  10   0.114303E-06   0.176228E-07   0.318385E-08
   3   0  11   0.116129E-06   0.177274E-07   0.369402E-08
   3   0  12   0.114809E-06   0.178048E-07   0.405009E-08
   3   0  13   0.110527E-06   0.178490E-07   0.425665E-08
   3   0  14   0.103630E-06   0.178579E-07   0.432752E-08
   3   0  15   0.945900E-07   0.178300E-07   0.428000E-08
   3   0  16   0.839500E-07   0.177800E-07   0.413200E-08
   3   0  17   0.723300E-07   0.177300E-07   0.389900E-08
   3   0  18   0.603100E-07   0.176800E-07   0.359500E-08
   3   0  19   0.484500E-07   0.176600E-07   0.323600E-08
   3   0  20   0.372400E-07   0.177000E-07   0.283900E-08
   3   0  21   0.270500E-07   0.178000E-07   0.242000E-08
   3   0  22   0.181700E-07   0.179400E-07   0.200100E-08
   3   0  23   0.107700E-07   0.180800E-07   0.160300E-08
   3   0  24   0.506300E-08   0.181600E-07   0.124100E-08
   3   0  25   0.131400E-08   0.180900E-07   0.926200E-09
   3   0  26   0.282100E-11   0.177800E-07   0.661400E-09
   3   0  27   0.187600E-08   0.171800E-07   0.444700E-09
   3   1   0   0.000000E+00   0.000000E+00   0.918506E-06
   3   1   1   0.000000E+00   0.499290E-06   0.434376E-06
   3   1   2   0.319793E-06   0.355674E-06   0.285920E-06
   3   1   3   0.468525E-06   0.330667E-06   0.198236E-06
   3   1   4   0.577144E-06   0.320276E-06   0.138212E-06
   3   1   5   0.660368E-06   0.313838E-06   0.955352E-07
   3   1   6   0.719866E-06   0.308694E-06   0.651068E-07
   3   1   7   0.754741E-06   0.303849E-06   0.436579E-07
   3   1   8   0.764333E-06   0.298798E-06   0.287863E-07
   3   1   9   0.749242E-06   0.293417E-06   0.186806E-07
   3   1  10   0.711040E-06   0.287482E-06   0.119603E-07
   3   1  11   0.653178E-06   0.280920E-06   0.758409E-08
   3   1  12   0.579541E-06   0.273713E-06   0.478734E-08
   3   1  13   0.495017E-06   0.265830E-06   0.303276E-08
   3   1  14   0.404897E-06   0.257174E-06   0.194831E-08
   3   1  15   0.314400E-06   0.247700E-06   0.128500E-08
   3   1  16   0.228200E-06   0.237400E-06   0.882300E-09
   3   1  17   0.150800E-06   0.226300E-06   0.637700E-09
   3   1  18   0.861500E-07   0.214200E-06   0.488800E-09
   3   1  19   0.376900E-07   0.201200E-06   0.397500E-09
   3   1  20   0.827000E-08   0.187400E-06   0.340900E-09
   3   1  21   0.234400E-09   0.172700E-06   0.304800E-09
   3   1  22   0.153200E-07   0.157400E-06   0.279900E-09
   3   1  23   0.545200E-07   0.141600E-06   0.259500E-09
   3   1  24   0.118000E-06   0.125500E-06   0.238700E-09
   3   1  25   0.205000E-06   0.109100E-06   0.213400E-09
   3   1  26   0.313900E-06   0.925400E-07   0.181200E-09
   3   1  27   0.442200E-06   0.759400E-07   0.141900E-09
   3   2   0   0.000000E+00   0.000000E+00   0.141097E-05
   3   2   1   0.000000E+00   0.688818E-06   0.706921E-06
   3   2   2   0.389934E-06   0.485134E-06   0.488730E-06
   3   2   3   0.516715E-06   0.443276E-06   0.352725E-06
   3   2   4   0.566955E-06   0.419659E-06   0.253670E-06
   3   2   5   0.566690E-06   0.399725E-06   0.179016E-06
   3   2   6   0.526083E-06   0.379979E-06   0.123080E-06
   3   2   7   0.453922E-06   0.359424E-06   0.820817E-07
   3   2   8   0.360269E-06   0.337783E-06   0.528965E-07
   3   2   9   0.256919E-06   0.315102E-06   0.328101E-07
   3   2  10   0.156752E-06   0.291569E-06   0.194930E-07
   3   2  11   0.727912E-07   0.267452E-06   0.110230E-07
   3   2  12   0.171826E-07   0.243039E-06   0.588216E-08
   3   2  13   0.308065E-09   0.218646E-06   0.292650E-08
   3   2  14   0.300757E-07   0.194584E-06   0.133396E-08
   3   2  15   0.111500E-06   0.171200E-06   0.542600E-09
   3   2  16   0.246300E-06   0.148600E-06   0.188800E-09
   3   2  17   0.433100E-06   0.127300E-06   0.522200E-10
   3   2  18   0.667500E-06   0.107300E-06   0.995300E-11
   3   2  19   0.942400E-06   0.887900E-07   0.925600E-12
   3   2  20   0.124800E-05   0.720000E-07   0.114200E-13
   3   2  21   0.157300E-05   0.569800E-07   0.000000E+00
   3   2  22   0.190500E-05   0.438000E-07   0.000000E+00
   3   2  23   0.222800E-05   0.324900E-07   0.000000E+00
   3   2  24   0.252600E-05   0.230400E-07   0.000000E+00
   3   2  25   0.278100E-05   0.154200E-07   0.000000E+00
   3   2  26   0.297200E-05   0.954400E-08   0.000000E+00
   3   2  27   0.307500E-05   0.528000E-08   0.000000E+00
