#6483      # Number of transitions
#K         # Unit of energy for transitions
#   n     nu     nl               E(K)           Aij(s-1)             quant:     vu      Ju      vl      Jl  info:     Description  Lambda (micrometres)
#---data-------------------------------------------------------------------------------------------------------------------------------------------
   45     17      8       3552.23100000     6.1260000E-08             quant:      1;      5;      0;      7; info:       4.0503 micrometres;      1-0 O(7)
   46     18      5       6477.13800000     1.9300000E-07             quant:      1;      6;      0;      4; info:       2.2213 micrometres;      1-0 S(4)
   47     18      6       5852.47900000     5.2850000E-05             quant:      1;      6;      0;      5; info:       2.4584 micrometres;      1-0 R(5)
   48     18      7       5111.99500000     1.1080000E-07             quant:      1;      6;      0;      6; info:       2.8145 micrometres;      1-0 Q(6)
   49     18      8       4260.31200000     1.8490000E-06             quant:      1;      6;      0;      7; info:       3.3772 micrometres;      1-0 P(7)
   50     18      9       3302.57700000     4.5600000E-08             quant:      1;      6;      0;      8; info:       4.3565 micrometres;      1-0 O(8)
   51     19      6       6666.72500000     1.9040000E-07             quant:      1;      7;      0;      5; info:       2.1581 micrometres;      1-0 S(5)
   52     19      7       5926.24100000     5.9480000E-05             quant:      1;      7;      0;      6; info:       2.4278 micrometres;      1-0 R(6)
   53     19      8       5074.55800000     1.0720000E-07             quant:      1;      7;      0;      7; info:       2.8353 micrometres;      1-0 Q(7)
   54     19      9       4116.82300000     1.0010000E-06             quant:      1;      7;      0;      8; info:       3.4949 micrometres;      1-0 P(8)
   55     19     12       3058.60000000     3.3360000E-08             quant:      1;      7;      0;      9; info:       4.7040 micrometres;      1-0 O(9)
   56     20      7       6841.66900000     1.8080000E-07             quant:      1;      8;      0;      6; info:       2.1030 micrometres;      1-0 S(6)
   57     20      8       5989.98600000     6.5780000E-05             quant:      1;      8;      0;      7; info:       2.4020 micrometres;      1-0 R(7)
   58     20      9       5032.25100000     1.0340000E-07             quant:      1;      8;      0;      8; info:       2.8591 micrometres;      1-0 Q(8)
   59     20     12       3974.02800000     4.6400000E-07             quant:      1;      8;      0;      9; info:       3.6204 micrometres;      1-0 P(9)
   60     20     16       2821.21000000     2.3930000E-08             quant:      1;      8;      0;     10; info:       5.0999 micrometres;     1-0 O(10)
   61     23      8       7001.20200000     1.6520000E-07             quant:      1;      9;      0;      7; info:       2.0550 micrometres;      1-0 S(7)
   62     23      9       6043.46700000     7.1610000E-05             quant:      1;      9;      0;      8; info:       2.3807 micrometres;      1-0 R(8)
   63     23     12       4985.24400000     9.9410000E-08             quant:      1;      9;      0;      9; info:       2.8861 micrometres;      1-0 Q(9)
   64     23     16       3832.42600000     1.6010000E-07             quant:      1;      9;      0;     10; info:       3.7542 micrometres;     1-0 P(10)
   65     27      9       7144.77300000     1.4470000E-07             quant:      1;     10;      0;      8; info:       2.0137 micrometres;      1-0 S(8)
   66     27     12       6086.55000000     7.6840000E-05             quant:      1;     10;      0;      9; info:       2.3639 micrometres;      1-0 R(9)
   67     27     16       4933.73200000     9.5170000E-08             quant:      1;     10;      0;     10; info:       2.9162 micrometres;     1-0 Q(10)
   68     11     10        122.83400000     4.3860000E-08             quant:      1;      1;      1;      0; info:     117.1317 micrometres;      1-1 R(0)
   69     13     10        367.64600000     6.7510000E-12             quant:      1;      2;      1;      0; info:      39.1348 micrometres;      1-1 S(0)
   70     13     11        244.81200000     4.1570000E-07             quant:      1;      2;      1;      1; info:      58.7706 micrometres;      1-1 R(1)
   71     14     11        609.90200000     1.0960000E-10             quant:      1;      3;      1;      1; info:      23.5903 micrometres;      1-1 S(1)
   72     14     13        365.09000000     1.4720000E-06             quant:      1;      3;      1;      2; info:      39.4088 micrometres;      1-1 R(2)
   73     15     13        847.96800000     6.3800000E-10             quant:      1;      4;      1;      2; info:      16.9673 micrometres;      1-1 S(2)
   74     15     14        482.87800000     3.5130000E-06             quant:      1;      4;      1;      3; info:      29.7958 micrometres;      1-1 R(3)
   75     17     14       1080.30800000     2.2950000E-09             quant:      1;      5;      1;      3; info:      13.3182 micrometres;      1-1 S(3)
   76     17     15        597.43000000     6.7590000E-06             quant:      1;      5;      1;      4; info:      24.0827 micrometres;      1-1 R(4)
   77     18     15       1305.51100000     6.2240000E-09             quant:      1;      6;      1;      4; info:      11.0208 micrometres;      1-1 S(4)
   78     18     17        708.08100000     1.1340000E-05             quant:      1;      6;      1;      5; info:      20.3194 micrometres;      1-1 R(5)
   79     19     17       1522.32700000     1.3990000E-08             quant:      1;      7;      1;      5; info:       9.4512 micrometres;      1-1 S(5)
   80     19     18        814.24600000     1.7270000E-05             quant:      1;      7;      1;      6; info:      17.6700 micrometres;      1-1 R(6)
   81     20     18       1729.67400000     2.7510000E-08             quant:      1;      8;      1;      6; info:       8.3182 micrometres;      1-1 S(6)
   82     20     19        915.42800000     2.4500000E-05             quant:      1;      8;      1;      7; info:      15.7170 micrometres;      1-1 R(7)
   83     23     19       1926.64400000     4.8860000E-08             quant:      1;      9;      1;      7; info:       7.4678 micrometres;      1-1 S(7)
   84     23     20       1011.21600000     3.2880000E-05             quant:      1;      9;      1;      8; info:      14.2282 micrometres;      1-1 R(8)
   85     27     20       2112.52200000     8.0130000E-08             quant:      1;     10;      1;      8; info:       6.8107 micrometres;      1-1 S(8)
   86     27     23       1101.30600000     4.2190000E-05             quant:      1;     10;      1;      9; info:      13.0643 micrometres;      1-1 R(9)
   87     21      2      10069.69100000     3.2520000E-05             quant:      2;      0;      0;      1; info:       1.4288 micrometres;      2-0 P(1)
   88     21      3       9813.81000000     1.3650000E-07             quant:      2;      0;      0;      2; info:       1.4661 micrometres;      2-0 O(2)
   89     22      1      10315.46700000     1.4690000E-05             quant:      2;      1;      0;      0; info:       1.3948 micrometres;      2-0 R(0)
   90     22      2      10187.08600000     7.3130000E-08             quant:      2;      1;      0;      1; info:       1.4124 micrometres;      2-0 Q(1)
   91     22      3       9931.20500000     1.8210000E-05             quant:      2;      1;      0;      2; info:       1.4487 micrometres;      2-0 P(2)
   92     22      4       9549.57500000     6.5590000E-08             quant:      2;      1;      0;      3; info:       1.5066 micrometres;      2-0 O(3)
   93     24      1      10549.42300000     4.6730000E-08             quant:      2;      2;      0;      0; info:       1.3638 micrometres;      2-0 S(0)
   94     24      2      10421.04200000     2.0080000E-05             quant:      2;      2;      0;      1; info:       1.3806 micrometres;      2-0 R(1)
   95     24      3      10165.16100000     5.2170000E-08             quant:      2;      2;      0;      2; info:       1.4154 micrometres;      2-0 Q(2)
   96     24      4       9783.53100000     1.3560000E-05             quant:      2;      2;      0;      3; info:       1.4706 micrometres;      2-0 P(3)
   97     24      5       9278.71900000     4.4070000E-08             quant:      2;      2;      0;      4; info:       1.5506 micrometres;      2-0 O(4)
   98     25      2      10769.91100000     6.8920000E-08             quant:      2;      3;      0;      1; info:       1.3359 micrometres;      2-0 S(1)
   99     25      3      10514.03000000     2.4140000E-05             quant:      2;      3;      0;      2; info:       1.3684 micrometres;      2-0 R(2)
  100     25      4      10132.40000000     4.8600000E-08             quant:      2;      3;      0;      3; info:       1.4200 micrometres;      2-0 Q(3)
  101     25      5       9627.58800000     1.0520000E-05             quant:      2;      3;      0;      4; info:       1.4944 micrometres;      2-0 P(4)
  102     25      6       9002.92900000     3.1290000E-08             quant:      2;      3;      0;      5; info:       1.5981 micrometres;      2-0 O(5)
  103     26      3      10975.39400000     8.6050000E-08             quant:      2;      4;      0;      2; info:       1.3109 micrometres;      2-0 S(2)
  104     26      4      10593.76400000     2.7710000E-05             quant:      2;      4;      0;      3; info:       1.3581 micrometres;      2-0 R(3)
  105     26      5      10088.95200000     4.7220000E-08             quant:      2;      4;      0;      4; info:       1.4261 micrometres;      2-0 Q(4)
  106     26      6       9464.29300000     8.2100000E-06             quant:      2;      4;      0;      5; info:       1.5202 micrometres;      2-0 P(5)
  107     26      7       8723.80900000     2.2390000E-08             quant:      2;      4;      0;      6; info:       1.6493 micrometres;      2-0 O(6)
  108     28      4      11164.48100000     1.0050000E-07             quant:      2;      5;      0;      3; info:       1.2887 micrometres;      2-0 S(3)
  109     28      5      10659.66900000     3.0940000E-05             quant:      2;      5;      0;      4; info:       1.3497 micrometres;      2-0 R(4)
  110     28      6      10035.01000000     4.6450000E-08             quant:      2;      5;      0;      5; info:       1.4338 micrometres;      2-0 Q(5)
  111     28      7       9294.52600000     6.3690000E-06             quant:      2;      5;      0;      6; info:       1.5480 micrometres;      2-0 P(6)
  112     28      8       8442.84300000     1.5910000E-08             quant:      2;      5;      0;      7; info:       1.7041 micrometres;      2-0 O(7)
  113     29      5      11335.95500000     1.1250000E-07             quant:      2;      6;      0;      4; info:       1.2692 micrometres;      2-0 S(4)
  114     29      6      10711.29600000     3.3850000E-05             quant:      2;      6;      0;      5; info:       1.3432 micrometres;      2-0 R(5)
  115     29      7       9970.81200000     4.5910000E-08             quant:      2;      6;      0;      6; info:       1.4430 micrometres;      2-0 Q(6)
  116     29      8       9119.12900000     4.8890000E-06             quant:      2;      6;      0;      7; info:       1.5778 micrometres;      2-0 P(7)
  117     29      9       8161.39400000     1.1130000E-08             quant:      2;      6;      0;      8; info:       1.7629 micrometres;      2-0 O(8)
  118     30      6      11488.80300000     1.2210000E-07             quant:      2;      7;      0;      5; info:       1.2523 micrometres;      2-0 S(5)
  119     30      7      10748.31900000     3.6410000E-05             quant:      2;      7;      0;      6; info:       1.3386 micrometres;      2-0 R(6)
  120     30      8       9896.63600000     4.5450000E-08             quant:      2;      7;      0;      7; info:       1.4538 micrometres;      2-0 Q(7)
  121     30      9       8938.90100000     3.7050000E-06             quant:      2;      7;      0;      8; info:       1.6096 micrometres;      2-0 P(8)
  122     30     12       7880.67800000     7.6440000E-09             quant:      2;      7;      0;      9; info:       1.8257 micrometres;      2-0 O(9)
  123     31      7      11622.21100000     1.2900000E-07             quant:      2;      8;      0;      6; info:       1.2380 micrometres;      2-0 S(6)
  124     31      8      10770.52800000     3.8580000E-05             quant:      2;      8;      0;      7; info:       1.3358 micrometres;      2-0 R(7)
  125     31      9       9812.79300000     4.5000000E-08             quant:      2;      8;      0;      8; info:       1.4662 micrometres;      2-0 Q(8)
  126     31     12       8754.57000000     2.7660000E-06             quant:      2;      8;      0;      9; info:       1.6435 micrometres;      2-0 P(9)
  127     31     16       7601.75200000     5.1300000E-09             quant:      2;      8;      0;     10; info:       1.8927 micrometres;     2-0 O(10)
  128     34      8      11735.58400000     1.3300000E-07             quant:      2;      9;      0;      7; info:       1.2260 micrometres;      2-0 S(7)
  129     34      9      10777.84900000     4.0350000E-05             quant:      2;      9;      0;      8; info:       1.3349 micrometres;      2-0 R(8)
  130     34     12       9719.62600000     4.4540000E-08             quant:      2;      9;      0;      9; info:       1.4803 micrometres;      2-0 Q(9)
  131     34     16       8566.80800000     2.0290000E-06             quant:      2;      9;      0;     10; info:       1.6795 micrometres;     2-0 P(10)
  132     38      9      11828.54300000     1.3400000E-07             quant:      2;     10;      0;      8; info:       1.2164 micrometres;      2-0 S(8)
  133     38     12      10770.32000000     4.1670000E-05             quant:      2;     10;      0;      9; info:       1.3359 micrometres;      2-0 R(9)
  134     38     16       9617.50200000     4.4040000E-08             quant:      2;     10;      0;     10; info:       1.4960 micrometres;     2-0 Q(10)
  135     21     11       4848.52100000     4.8750000E-05             quant:      2;      0;      1;      1; info:       2.9675 micrometres;      2-1 P(1)
  136     21     13       4603.70900000     6.0910000E-07             quant:      2;      0;      1;      2; info:       3.1253 micrometres;      2-1 O(2)
  137     22     10       5088.75000000     2.6210000E-05             quant:      2;      1;      1;      0; info:       2.8274 micrometres;      2-1 R(0)
  138     22     11       4965.91600000     2.9330000E-07             quant:      2;      1;      1;      1; info:       2.8973 micrometres;      2-1 Q(1)
  139     22     13       4721.10400000     2.4540000E-05             quant:      2;      1;      1;      2; info:       3.0475 micrometres;      2-1 P(2)
  140     22     14       4356.01400000     3.1270000E-07             quant:      2;      1;      1;      3; info:       3.3030 micrometres;      2-1 O(3)
  141     24     10       5322.70600000     1.6780000E-07             quant:      2;      2;      1;      0; info:       2.7031 micrometres;      2-1 S(0)
  142     24     11       5199.87200000     3.8510000E-05             quant:      2;      2;      1;      1; info:       2.7669 micrometres;      2-1 R(1)
  143     24     13       4955.06000000     2.0760000E-07             quant:      2;      2;      1;      2; info:       2.9036 micrometres;      2-1 Q(2)
  144     24     14       4589.97000000     1.6130000E-05             quant:      2;      2;      1;      3; info:       3.1346 micrometres;      2-1 P(3)
  145     24     15       4107.09200000     2.2390000E-07             quant:      2;      2;      1;      4; info:       3.5031 micrometres;      2-1 O(4)
