#4711      # Number of transitions
#K         # Unit of energy for transitions
#   n     nu     nl                E(K)          Aij(s-1)             quant:     vu      Ju      vl      Jl  info:      Description  Lambda (micrometres)
#---data------------------------------------------------------------------------------------------------------------------------------------------
   44     12      1       6471.38592176     2.5260000E-07             quant:      1;      2;      0;      0; info:   2.2233 micrometres;     1- 0 S( 0)
   45     12     10        484.39632197     2.7860000E-11             quant:      1;      2;      1;      0; info:  29.7025 micrometres;     1- 1 S( 0)
   46     13      6       4447.54985482     2.0820000E-07             quant:      1;      3;      0;      5; info:   3.2350 micrometres;     1- 0 O( 5)
   47     13      4       5936.21011223     2.8240000E-07             quant:      1;      3;      0;      3; info:   2.4237 micrometres;     1- 0 Q( 3)
   48     13      2       6780.81821616     3.4700000E-07             quant:      1;      3;      0;      1; info:   2.1218 micrometres;     1- 0 S( 1)
   49     13     11        802.33518323     4.4970000E-10             quant:      1;      3;      1;      1; info:  17.9324 micrometres;     1- 1 S( 1)
   50     15      7       4109.84091876     1.4970000E-07             quant:      1;      4;      0;      6; info:   3.5008 micrometres;     1- 0 O( 6)
   51     15      5       5902.70013405     2.7210000E-07             quant:      1;      4;      0;      4; info:   2.4375 micrometres;     1- 0 Q( 4)
   52     15      3       7074.47498825     3.9810000E-07             quant:      1;      4;      0;      2; info:   2.0338 micrometres;     1- 0 S( 2)
   53     15     12       1112.95293194     2.5920000E-09             quant:      1;      4;      1;      2; info:  12.9276 micrometres;     1- 1 S( 2)
   54     16      8       3778.87738019     1.0610000E-07             quant:      1;      5;      0;      7; info:   3.8074 micrometres;     1- 0 O( 7)
   55     16      6       5861.19172616     2.6520000E-07             quant:      1;      5;      0;      5; info:   2.4548 micrometres;     1- 0 Q( 5)
   56     16      4       7349.85198357     4.2060000E-07             quant:      1;      5;      0;      3; info:   1.9576 micrometres;     1- 0 S( 3)
   57     16     13       1413.64187133     9.2100000E-09             quant:      1;      5;      1;      3; info:  10.1778 micrometres;     1- 1 S( 3)
   58     18      9       3456.58333413     7.3560000E-08             quant:      1;      6;      0;      8; info:   4.1624 micrometres;     1- 0 O( 8)
   59     18      7       5811.92726490     2.5930000E-07             quant:      1;      6;      0;      6; info:   2.4756 micrometres;     1- 0 Q( 6)
   60     18      5       7604.78648019     4.1880000E-07             quant:      1;      6;      0;      4; info:   1.8919 micrometres;     1- 0 S( 4)
   61     18     15       1702.08634614     2.4600000E-08             quant:      1;      6;      1;      4; info:   8.4530 micrometres;     1- 1 S( 4)
