#59        # Number of transitions
#K         # Unit energy of transitions
#   n     nu     nl                E(K)          Aij(s-1)             quant:   Nu    Ju    Nl    Jl    info:    E(GHz)
#---data------------------------------------------------------------------------------------------------------------------------
   49     34     32         92.32264612     8.4470000E-02             quant:   17; 16.5;   16; 15.5;   info:  1923.6917033 GHz
   50     35     33         92.33308441     8.4650000E-02             quant:   17; 17.5;   16; 16.5;   info:  1923.9092021 GHz
   51     36     35         97.54777944     1.5870000E-04             quant:   18; 17.5;   17; 17.5;   info:  2032.5658099 GHz
   52     36     34         97.73044963     1.0040000E-01             quant:   18; 17.5;   17; 16.5;   info:  2036.3720389 GHz
   53     37     35         97.74088792     1.0060000E-01             quant:   18; 18.5;   17; 17.5;   info:  2036.5895377 GHz
   54     38     37        102.94115939     1.6740000E-04             quant:   19; 18.5;   18; 18.5;   info:  2144.9456073 GHz
   55     38     36        103.13426788     1.1820000E-01             quant:   19; 18.5;   18; 17.5;   info:  2148.9693351 GHz
   56     39     37        103.14470617     1.1840000E-01             quant:   19; 19.5;   18; 18.5;   info:  2149.1868339 GHz
   57     40     39        108.33033267     1.7600000E-04             quant:   20; 19.5;   19; 19.5;   info:  2257.2377519 GHz
   58     40     38        108.53387945     1.3790000E-01             quant:   20; 19.5;   19; 18.5;   info:  2261.4789785 GHz
   59     41     39        108.54431775     1.3810000E-01             quant:   20; 20.5;   19; 19.5;   info:  2261.6964773 GHz
#---end--------------------------------------------------------------------------------------------------------------------------
#Reference:     Lamda database (http://home.strw.leidenuniv.nl/~moldata/)
#               Klisch et al. 1995
#Datafile date: 28th December 2016
