|     A|  gu|  vu|  Ju|  vl|  Jl|           lambda|     Line|                dE|                 Tu|
|double|long|long|long|long|long|           double|     char|            double|             double|
| 1 / s|    |    |    |    |    |           micron|         |                 K|                  K|
|  null|null|null|null|null|null|             null|     null|              null|               null|
   3.59   41    1    0   20   19 3.276082616038422  CH+10R19 4391.7600565390003  11731.010672299000 
   2.89   39    1    0   19   18 3.279221028750778  CH+10R18 4387.5568767380000  11017.123812913000 
   2.29   37    1    0   18   17 3.283966365342435  CH+10R17 4381.2168501120004  10333.611706181000 
   1.79   35    1    0   17   16 3.290306079580779  CH+10R16 4372.7751847549989   9681.253785524999 
   1.37   33    1    0   16   15 3.298232514315338  CH+10R15 4362.2663692119995   9060.798715526000 
   1.01   31    1    0   15   14 3.307742582988834  CH+10R14 4349.7244462229992   8472.962729116000 
   0.72   29    1    0   14   13 3.318837496766160  CH+10R13 4335.1832649410007   7918.428057154000 
   0.48   27    1    0   13   12 3.331522532442330  CH+10R12 4318.6767116029996   7397.841450374000 
   0.29   25    1    0   12   11 3.345806837060441  CH+10R11 4300.2389186580003   6911.812793712000 
   0.16   23    1    0   11   10 3.361703265835385  CH+10R10 4279.9044523829998   6460.913813017000 
   0.06   21    1    0   10    9 3.379228250654034   CH+10R9 4257.7084789270002   6045.676874128000 
   0.01   19    1    0    9    8 3.398401696863764   CH+10R8 4233.6869088539997   5666.593874345000 
   0.00   17    1    0    8    7 3.419246906661987   CH+10R7 4207.8765201209999   5324.115226264000 
   0.03   15    1    0    7    6 3.441790527774851   CH+10R6 4180.3150595400002   5018.648933997000 
   0.09   13    1    0    6    5 3.466062526628835   CH+10R5 4151.0413226829996   4750.559761772000 
   0.18   11    1    0    5    4 3.492096185586648   CH+10R4 4120.0952122749995   4520.168494903000 
   0.30    9    1    0    4    3 3.519928124339936   CH+10R3 4087.5177750219996   4327.751293148000 
   0.44    7    1    0    3    2 3.549598345919725   CH+10R2 4053.3512169280002   4173.539136436000 
   0.56    5    1    0    2    1 3.581150308353846   CH+10R1 4017.6388970540002   4057.717362980000 
   0.62    3    1    0    1    0 3.614631023445855   CH+10R0 3980.4252997650001   3980.425299765000 
   2.87    1    1    0    0    1 3.687585327900063   CH+10P1 3901.6775194820002   3941.755985408000 
   2.29    3    1    0    1    2 3.727172025384991   CH+10P2 3860.2373802570000   3980.425299765000 
   2.41    5    1    0    2    3 3.768914122435428   CH+10P3 3817.4838448539999   4057.717362980000 
   2.64    7    1    0    3    4 3.812879016917536   CH+10P4 3773.4658538080002   4173.539136436000 
   2.91    9    1    0    4    5 3.859138991110787   CH+10P5 3728.2328540589997   4327.751293148000 
   3.20   11    1    0    5    6 3.907771602543211   CH+10P6 3681.8346204459995   4520.168494903000 
   3.50   13    1    0    6    7 3.958860143287262   CH+10P7 3634.3210556289996   4750.559761772000 
   3.79   15    1    0    7    8 4.012494178724746   CH+10P8 3585.7419685060004   5018.648933997000 
   4.09   17    1    0    8    9 4.068770179069243   CH+10P9 3536.1468310629998   5324.115226264000 
   4.37   19    1    0    9   10 4.127792259359421  CH+10P10 3485.5845137109995   5666.593874345000 
   4.64   21    1    0   10   11 4.189673046766207  CH+10P11 3434.1029990740003   6045.676874128000 
   4.89   23    1    0   11   12 4.254534697624559  CH+10P12 3381.7490742460004   6460.913813017000 
   5.13   25    1    0   12   13 4.322510090994053  CH+10P13 3328.5680014989998   6911.812793712000 
   5.34   27    1    0   13   14 4.393744230726798  CH+10P14 3274.6031674809992   7397.841450374000 
   5.52   29    1    0   14   15 4.468395894501156  CH+10P15 3219.8957108400000   7918.428057154000 
   5.66   31    1    0   15   16 4.546639575834903  CH+10P16 3164.4841283459991   8472.962729116000 
   5.77   33    1    0   16   17 4.628667774705666  CH+10P17 3108.4038594570002   9060.798715526000 
   5.84   35    1    0   17   18 4.714693703944063  CH+10P18 3051.6868493499996   9681.253785524999 
   5.86   37    1    0   18   19 4.804954492985497  CH+10P19 2994.3610904210000  10333.611706181000 
   5.83   39    1    0   19   20 4.899714988535231  CH+10P20 2936.4501422439998  11017.123812913000 
