|PDR code        |     name     |    version|               path                                |         filename| medium                |   z  |  description                                                                                    | 
|char            |          char|       char|               char                                |             char| char                  |float |  char                                                                                           | 
|                |              |           |                                                   |                 |                       |      |                                                                                                 |
|null            |          null|       null|               null                                |             null| null                  |null  |  null                                                                                           | 
 KOSMA-tau         kt2013wd01-7    WD01-7    kosmatau/2013/WD01-7/non-clumpy/M=0.1,z=1/             models.tab     non-clumpy               1     KOSMA-tau models 2013, Weingarter & Draine 2001 R_V=3.1, non-clumpy
 KOSMA-tau         kt2013wd01-14   WD01-14   kosmatau/2013/WD01-14/clumpy/M=0.1,z=1/                models.tab     clumpy                   1     KOSMA-tau models 2013, Weingarter & Draine 2001 R_V=4.0, clumpy, maximum clump mass = 100 Msun   
 KOSMA-tau         kt2013wd01-14   WD01-14   kosmatau/2013/WD01-14/non-clumpy/M=0.1,z=1/            models.tab     non-clumpy               1     KOSMA-tau models 2013, Weingarter & Draine 2001 R_V=4.0, non-clumpy
 KOSMA-tau         kt2013wd01-25   WD01-25   kosmatau/2013/WD01-25/clumpy/M=0.1,z=1/                models.tab     clumpy                   1     KOSMA-tau models 2013, Weingarter & Draine 2001 R_V=5.5, clumpy, maximum clump mass = 100 Msun   
 KOSMA-tau         kt2013wd01-25   WD01-25   kosmatau/2013/WD01-25/non-clumpy/M=0.1,z=1/            models.tab     non-clumpy               1     KOSMA-tau models 2013, Weingarter & Draine 2001 R_V=5.5, non-clumpy
 KOSMA-tau         kt2013wd01-7    WD01-7    kosmatau/2013/WD01-7/clumpy/M=1000,z=1/                models.tab     clumpy                   1     KOSMA-tau models 2013, Weingarter & Draine 2001 R_V=3.1, clumpy, maximum clump mass = 100 Msun   
 KOSMA-tau         kt2013wd01-7    WD01-7    kosmatau/2013/WD01-7/non-clumpy/M=1000,z=1/            models.tab     non-clumpy               1     KOSMA-tau models 2013, Weingarter & Draine 2001 R_V=3.1, non-clumpy
 KOSMA-tau         kt2013wd01-14   WD01-14   kosmatau/2013/WD01-14/clumpy/M=1000,z=1/               models.tab     clumpy                   1     KOSMA-tau models 2013, Weingarter & Draine 2001 R_V=4.0, clumpy, maximum clump mass = 100 Msun   
 KOSMA-tau         kt2013wd01-14   WD01-14   kosmatau/2013/WD01-14/non-clumpy/M=1000,z=1/           models.tab     non-clumpy               1     KOSMA-tau models 2013, Weingarter & Draine 2001 R_V=4.0, non-clumpy
 KOSMA-tau         kt2013wd01-25   WD01-25   kosmatau/2013/WD01-25/clumpy/M=1000,z=1/               models.tab     clumpy                   1     KOSMA-tau models 2013, Weingarter & Draine 2001 R_V=5.5, clumpy, maximum clump mass = 100 Msun   
 KOSMA-tau         kt2013wd01-25   WD01-25   kosmatau/2013/WD01-25/non-clumpy/M=1000,z=1/           models.tab     non-clumpy               1     KOSMA-tau models 2013, Weingarter & Draine 2001 R_V=5.5, non-clumpy
