# %ECSV 1.0
# ---
# datatype:
# - {name: dE, unit: K, datatype: float64}
# - {name: A, unit: 1 / s, datatype: float64}
# - {name: Ju, unit: '', datatype: int64}
# - {name: Jl, unit: '', datatype: int64}
# - {name: freq, unit: GHz, datatype: float64}
# - {name: vu, unit: '', datatype: int64}
# - {name: vl, unit: '', datatype: int64}
# - {name: lambda, unit: micron, datatype: float64}
# - {name: Tu, unit: K, datatype: float64}
# - {name: gu, datatype: float64}
# - {name: Line, datatype: string}
# - {name: Transition, datatype: string}
# - {name: species, datatype: string}
# meta: !!omap
# - comments: ['40        # Number of transitions', 'K         # Unit energy transitions', 'n     nu     nl                E(K)          Aij(s-1)             quant:
#       Ju    Jl   info:    Description', '---data-----------------------------------------------------------------------------------------------------',
#     '---end------------------------------------------------------', Utilisation des donnees de LAMDA - ER 2011, Frequencies from CDMS
#       - 18-01-06 - file=c030502.cat]
# - keywords: {}
# schema: astropy-2.0
dE A Ju Jl freq vu vl lambda Tu gu Line Transition species
2882.608860886542 14.26 22 23 60063.86777958889 1 0 4.991227989181818 4339.88300421559 94.0 C18Ov1-0J22-23 "v1-0 J22-23" 13CO
2888.8844383669934 14.37 21 22 60194.62969499927 1 0 4.9803854516428 4224.90618254511 90.0 C18Ov1-0J21-22 "v1-0 J21-22" 13CO
2895.1171863693453 14.47 20 21 60324.499188219335 1 0 4.96966343748024 4115.12669674803 86.0 C18Ov1-0J20-21 "v1-0 J20-21" 13CO
2901.3069149751936 14.58 19 20 60453.47230199059 1 0 4.95906101972787 4010.54824160061 82.0 C18Ov1-0J19-20 "v1-0 J19-20" 13CO
2907.4534285110267 14.69 18 19 60581.54495913492 1 0 4.94857729696765 3911.17493775674 78.0 C18Ov1-0J18-19 "v1-0 J18-19" 13CO
2913.5565370584404 14.81 17 18 60708.71320239206 1 0 4.93821137339125 3817.01047999269 74.0 C18Ov1-0J17-18 "v1-0 J17-18" 13CO
2919.616047821478 14.93 16 17 60834.973014543015 1 0 4.92796237335936 3728.05812857443 70.0 C18Ov1-0J16-17 "v1-0 J16-17" 13CO
2925.6317680041793 15.04 15 16 60960.320378369375 1 0 4.9178294362504 3644.3212876455 66.0 C18Ov1-0J15-16 "v1-0 J15-16" 13CO
2931.603504810588 15.16 14 15 61084.75127665036 1 0 4.9078117162539 3565.80321747188 62.0 C18Ov1-0J14-15 "v1-0 J14-15" 13CO
2937.531064005971 15.3 13 14 61208.26166218958 1 0 4.89790838456685 3492.50645749286 58.0 C18Ov1-0J13-14 "v1-0 J13-14" 13CO
2943.4142556719225 15.44 12 13 61330.8475777262 1 0 4.88811861959131 3424.43383921922 54.0 C18Ov1-0J12-13 "v1-0 J12-13" 13CO
2949.2528855737078 15.57 11 12 61452.50497606186 1 0 4.87844162116387 3361.58804596783 50.0 C18Ov1-0J11-12 "v1-0 J11-12" 13CO
2955.0467594765955 15.73 10 11 61573.229809998425 1 0 4.86887660311298 3303.97118554524 46.0 C18Ov1-0J10-11 "v1-0 J10-11" 13CO
2960.7956860234017 15.9 9 10 61693.01809229627 1 0 4.85942278835335 3251.58551251314 42.0 C18Ov1-0J9-10 "v1-0 J9-10" 13CO
2966.4994724181697 16.08 8 9 61811.865805736306 1 0 4.85007941585511 3204.43299223927 38.0 C18Ov1-0J8-9 "v1-0 J8-9" 13CO
2972.157924426168 16.3 7 8 61929.768903120465 1 0 4.84084574042217 3162.51515701986 34.0 C18Ov1-0J7-8 "v1-0 J7-8" 13CO
2977.7708478126597 16.55 6 7 62046.72333725049 1 0 4.83172103014207 3125.83368302872 30.0 C18Ov1-0J6-7 "v1-0 J6-7" 13CO
2983.338052659241 16.86 5 6 62162.72515086602 1 0 4.82270455924218 3094.38996300083 26.0 C18Ov1-0J5-6 "v1-0 J5-6" 13CO
2988.859344731179 17.27 4 5 62277.77029676872 1 0 4.813795621959747 3068.1849537221 22.0 C18Ov1-0J4-5 "v1-0 J4-5" 13CO
2994.334528354963 17.87 3 4 62391.85469778143 1 0 4.80499352763527 3047.21989829482 18.0 C18Ov1-0J3-4 "v1-0 J3-4" 13CO
2999.763413612187 18.86 2 3 62504.97439664339 1 0 4.79629758901396 3031.49547006606 14.0 C18Ov1-0J2-3 "v1-0 J2-3" 13CO
3005.145806268119 21.07 1 2 62617.12534615663 1 0 4.78770713830607 3021.01205031142 10.0 C18Ov1-0J1-2 "v1-0 J1-2" 13CO
3010.4815120880253 31.78 0 1 62728.30349912293 1 0 4.77922152006218 3015.77030806165 6.0 C18Ov1-0J0-1 "v1-0 J0-1" 13CO
3021.012093474704 10.71 1 0 62947.72537651813 1 0 4.76256220867091 3021.0120934747 2.0 C18Ov1-0J1-0 "v1-0 J1-0" 13CO
3026.2065820107864 12.93 2 1 63055.961036529894 1 0 4.75438726286834 3031.49537798441 6.0 C18Ov1-0J2-1 "v1-0 J2-1" 13CO
3031.3536125270116 13.92 3 2 63163.207831118925 1 0 4.74631463939518 3047.21985657032 10.0 C18Ov1-0J3-2 "v1-0 J3-2" 13CO
3036.4529922274232 14.51 4 3 63269.46174306633 1 0 4.73834374026193 3068.1850486813 14.0 C18Ov1-0J4-3 "v1-0 J4-3" 13CO
3041.5045268772874 14.92 5 4 63374.71872517398 1 0 4.7304739812741 3094.38989681714 18.0 C18Ov1-0J5-4 "v1-0 J5-4" 13CO
3046.508023680647 15.23 6 5 63478.974760222685 1 0 4.72270478741028 3125.83363267156 22.0 C18Ov1-0J6-5 "v1-0 J6-5" 13CO
3051.4632898415434 15.47 7 6 63582.225830993855 1 0 4.71503559496124 3162.51520018313 26.0 C18Ov1-0J7-6 "v1-0 J7-6" 13CO
3056.3701325640204 15.69 8 7 63684.467920268246 1 0 4.70746585141191 3204.43296778008 30.0 C18Ov1-0J8-7 "v1-0 J8-7" 13CO
3061.2283590521183 15.87 9 8 63785.69701082716 1 0 4.69999501532628 3251.58559164581 34.0 C18Ov1-0J9-8 "v1-0 J9-8" 13CO
3066.037775071107 16.03 10 9 63885.90905547223 1 0 4.69262255843757 3303.9712948922 38.0 C18Ov1-0J10-9 "v1-0 J10-9" 13CO
3070.7981907025783 16.18 11 10 63985.100096943104 1 0 4.68534795672411 3361.58801719232 42.0 C18Ov1-0J11-10 "v1-0 J11-10" 13CO
3075.509411711798 16.33 12 11 64083.26608804159 1 0 4.67817070353634 3424.43383778045 46.0 C18Ov1-0J12-11 "v1-0 J12-11" 13CO
3080.1712467415873 16.45 13 12 64180.403041528014 1 0 4.67109029848284 3492.50640713571 50.0 C18Ov1-0J13-12 "v1-0 J13-12" 13CO
3084.783500118433 16.57 14 13 64276.50688022491 1 0 4.66410625827324 3565.80308366573 54.0 C18Ov1-0J14-13 "v1-0 J14-13" 13CO
3089.3459833627094 16.7 15 14 64371.573676851105 1 0 4.65721809917177 3644.3213768496 58.0 C18Ov1-0J15-14 "v1-0 J15-14" 13CO
3093.8585008009036 16.81 16 15 64465.59935422911 1 0 4.65042535868912 3728.0582134622 62.0 C18Ov1-0J16-15 "v1-0 J16-15" 13CO
3098.3208625146112 16.91 17 16 64558.57995509862 1 0 4.64372757592422 3817.01038215593 66.0 C18Ov1-0J17-16 "v1-0 J17-16" 13CO
3102.732875707875 17.02 18 17 64650.511462240545 1 0 4.63712430450137 3911.17495646082 70.0 C18Ov1-0J18-17 "v1-0 J18-17" 13CO
3107.094347584736 17.13 19 18 64741.38985843606 1 0 4.63061510813296 4010.54829051898 74.0 C18Ov1-0J19-18 "v1-0 J19-18" 13CO
