# %ECSV 1.0
# ---
# datatype:
# - {name: dE, unit: K, datatype: float64}
# - {name: A, unit: 1 / s, datatype: float64}
# - {name: Ju, unit: '', datatype: int64}
# - {name: Jl, unit: '', datatype: int64}
# - {name: freq, unit: GHz, datatype: float64}
# - {name: vu, unit: '', datatype: int64}
# - {name: vl, unit: '', datatype: int64}
# - {name: lambda, unit: micron, datatype: float64}
# - {name: Tu, unit: K, datatype: float64}
# - {name: gu, datatype: float64}
# - {name: Line, datatype: string}
# - {name: Transition, datatype: string}
# - {name: species, datatype: string}
# meta: !!omap
# - comments: ['40        # Number of transitions', 'K         # Unit energy transitions', 'n     nu     nl                E(K)         Aein(s-1)             quant:  Ju    Jl   info:        E(GHz)',
#     '---data-----------------------------------------------------------------------------------------------------', '---end-------------------------------------------------------',
#     '****__***__***__***********__*************__*********************', 'format(I5,2(2x,I3),2x,F11.4,2x,1p,E13.7,2x,A45)', new A coefficients
#       from LAMDA - ER_2011, Frequencies GHz from CDMS - 18-01-06 - file=c029501.cat]
# - keywords: !!omap []
# schema: astropy-2.0
dE A Ju Jl freq vu vl lambda Tu gu Line Transition species
3041.5045268772874 14.92 5 4 63374.71872517398 1 0 4.7304739812741 3094.38989681714 18.0 13COv1-0J5-4 "v1-0 J5-4" 13CO
3046.508023680647 15.23 6 5 63478.974760222685 1 0 4.72270478741028 3125.83363267156 22.0 13COv1-0J6-5 "v1-0 J6-5" 13CO
3051.4632898415434 15.47 7 6 63582.225830993855 1 0 4.71503559496124 3162.51520018313 26.0 13COv1-0J7-6 "v1-0 J7-6" 13CO
3056.3701325640204 15.69 8 7 63684.467920268246 1 0 4.70746585141191 3204.43296778008 30.0 13COv1-0J8-7 "v1-0 J8-7" 13CO
3061.2283590521183 15.87 9 8 63785.69701082716 1 0 4.69999501532628 3251.58559164581 34.0 13COv1-0J9-8 "v1-0 J9-8" 13CO
3066.037775071107 16.03 10 9 63885.90905547223 1 0 4.69262255843757 3303.9712948922 38.0 13COv1-0J10-9 "v1-0 J10-9" 13CO
3070.7981907025783 16.18 11 10 63985.100096943104 1 0 4.68534795672411 3361.58801719232 42.0 13COv1-0J11-10 "v1-0 J11-10" 13CO
3075.509411711798 16.33 12 11 64083.26608804159 1 0 4.67817070353634 3424.43383778045 46.0 13COv1-0J12-11 "v1-0 J12-11" 13CO
3080.1712467415873 16.45 13 12 64180.403041528014 1 0 4.67109029848284 3492.50640713571 50.0 13COv1-0J13-12 "v1-0 J13-12" 13CO
3084.783500118433 16.57 14 13 64276.50688022491 1 0 4.66410625827324 3565.80308366573 54.0 13COv1-0J14-13 "v1-0 J14-13" 13CO
3089.3459833627094 16.7 15 14 64371.573676851105 1 0 4.65721809917177 3644.3213768496 58.0 13COv1-0J15-14 "v1-0 J15-14" 13CO
3093.8585008009036 16.81 16 15 64465.59935422911 1 0 4.65042535868912 3728.0582134622 62.0 13COv1-0J16-15 "v1-0 J16-15" 13CO
3098.3208625146112 16.91 17 16 64558.57995509862 1 0 4.64372757592422 3817.01038215593 66.0 13COv1-0J17-16 "v1-0 J17-16" 13CO
3102.732875707875 17.02 18 17 64650.511462240545 1 0 4.63712430450137 3911.17495646082 70.0 13COv1-0J18-17 "v1-0 J18-17" 13CO
3107.094347584736 17.13 19 18 64741.38985843606 1 0 4.63061510813296 4010.54829051898 74.0 13COv1-0J19-18 "v1-0 J19-18" 13CO
3111.405085349238 17.23 20 19 64831.211126466005 1 0 4.62419956053568 4115.12659459495 78.0 13COv1-0J20-19 "v1-0 J20-19" 13CO
3115.664900521751 17.33 21 20 64919.97133904953 1 0 4.6178772389518 4224.90622714716 82.0 13COv1-0J21-20 "v1-0 J21-20" 13CO
3119.873597428765 17.42 22 21 65007.66641900902 1 0 4.61164774117068 4339.88310780745 86.0 13COv1-0J22-21 "v1-0 J22-21" 13CO
3124.0309875906496 17.52 23 22 65094.29243906324 1 0 4.6055106640977 4460.05273176877 90.0 13COv1-0J23-22 "v1-0 J23-22" 13CO
3128.1368767726713 17.61 24 23 65179.84535201449 1 0 4.5994656228612 4585.41102010172 94.0 13COv1-0J24-23 "v1-0 J24-23" 13CO
3132.1910736176496 17.7 25 24 65264.32117062173 1 0 4.59351223796915 4715.95317736655 98.0 13COv1-0J25-24 "v1-0 J25-24" 13CO
3136.1933896459536 17.8 26 25 65347.71596760507 1 0 4.58765013529496 4851.67441100107 102.0 13COv1-0J26-25 "v1-0 J26-25" 13CO
3140.1436291840737 17.88 27 26 65430.025665786714 1 0 4.58187896075916 4992.56977737161 106.0 13COv1-0J27-26 "v1-0 J27-26" 13CO
3144.0416051911566 17.97 28 27 65511.246367864725 1 0 4.57619835709701 5138.63390984443 110.0 13COv1-0J28-27 "v1-0 J28-27" 13CO
3147.887124871243 18.05 29 28 65591.3740566201 1 0 4.57060798484282 5289.86157990826 114.0 13COv1-0J29-28 "v1-0 J29-28" 13CO
3151.6799954283774 18.14 30 29 65670.40471483396 1 0 4.56510751383083 5446.24727129667 118.0 13COv1-0J30-29 "v1-0 J30-29" 13CO
3155.420029821704 18.23 31 30 65748.3344452042 1 0 4.55969661482227 5607.78489798802 122.0 13COv1-0J31-30 "v1-0 J31-30" 13CO
3159.107032377714 18.31 32 31 65825.1591705535 1 0 4.55437498029037 5774.46879696075 126.0 13COv1-0J32-31 "v1-0 J32-31" 13CO
3162.740816055553 18.38 33 32 65900.87499357999 1 0 4.54914229938837 5946.29273831563 130.0 13COv1-0J33-32 "v1-0 J33-32" 13CO
3166.3211909368156 18.47 34 33 65975.47795702309 1 0 4.54399827456024 6123.2503453983 134.0 13COv1-0J34-33 "v1-0 J34-33" 13CO
3169.8479642255425 18.55 35 34 66048.964043665 1 0 4.5389426214438 6305.33509479928 138.0 13COv1-0J35-34 "v1-0 J35-34" 13CO
3173.32094600333 18.63 36 35 66121.32929624204 1 0 4.53397506055642 6492.54017823146 142.0 13COv1-0J36-35 "v1-0 J36-35" 13CO
3176.739947790546 18.71 37 36 66192.56978747615 1 0 4.52909531934688 6684.8589327241 146.0 13COv1-0J37-36 "v1-0 J37-36" 13CO
3180.1047767912337 18.79 38 37 66262.68150014752 1 0 4.52430314036314 6882.28397160223 150.0 13COv1-0J38-37 "v1-0 J38-37" 13CO
3183.4152459645397 18.86 39 38 66331.66053695393 1 0 4.5195982668485 7084.80820170114 154.0 13COv1-0J39-38 "v1-0 J39-38" 13CO
3186.671162514506 18.93 40 39 66399.50288067678 1 0 4.51498045909684 7292.4239485907 158.0 13COv1-0J40-39 "v1-0 J40-39" 13CO
3189.8723394002764 19.01 41 40 66466.2046340137 1 0 4.51044947805825 7505.12368747346 162.0 13COv1-0J41-40 "v1-0 J41-40" 13CO
3193.018585264671 19.08 42 41 66531.76180972545 1 0 4.50600509960007 7722.89960148049 166.0 13COv1-0J42-41 "v1-0 J42-41" 13CO
3196.109710189283 19.16 43 42 66596.17045055119 1 0 4.50164710630923 7945.74358742645 170.0 13COv1-0J43-42 "v1-0 J43-42" 13CO
3199.145525694482 19.23 44 43 66659.42662921002 1 0 4.49737528748307 8173.64725580966 174.0 13COv1-0J44-43 "v1-0 J44-43" 13CO
3202.1258418618645 19.3 45 44 66721.52638844121 1 0 4.49318944315902 8406.60235956719 178.0 13COv1-0J45-44 "v1-0 J45-44" 13CO
3205.0504702117973 19.37 46 45 66782.46580096385 1 0 4.48908938004013 8644.6002214422 182.0 13COv1-0J46-45 "v1-0 J46-45" 13CO
3207.9192193870986 19.44 47 46 66842.24087953797 1 0 4.4850749175253 8887.63201742267 186.0 13COv1-0J47-46 "v1-0 J47-46" 13CO
3210.7319023469176 19.51 48 47 66900.84772686189 1 0 4.48114587761237 9135.68892781294 190.0 13COv1-0J48-47 "v1-0 J48-47" 13CO
3213.48833061162 19.57 49 48 66958.28241565422 1 0 4.47730209295081 9388.76155596824 194.0 13COv1-0J49-48 "v1-0 J49-48" 13CO
3216.1883128240256 19.64 50 49 67014.54095867537 1 0 4.47354340880836 9646.84050236624 198.0 13COv1-0J50-49 "v1-0 J50-49" 13CO
3218.831661943281 19.71 51 50 67069.6194586232 1 0 4.46986967303354 9909.91637180097 202.0 13COv1-0J51-50 "v1-0 J51-50" 13CO
3221.418188050978 19.78 52 51 67123.51395823748 1 0 4.46628074606647 10177.9794784337 206.0 13COv1-0J52-51 "v1-0 J52-51" 13CO
3223.947704106265 19.84 53 52 67176.22056021626 1 0 4.46277649292979 10451.0197076705 210.0 13COv1-0J53-52 "v1-0 J53-52" 13CO
3226.4200187519577 19.9 54 53 67227.73527732035 1 0 4.4593567931945 10729.0269406013 214.0 13COv1-0J54-53 "v1-0 J54-53" 13CO
3228.8349463859795 19.96 55 54 67278.05424222512 1 0 4.4560215270293 11011.9910640708 218.0 13COv1-0J55-54 "v1-0 J55-54" 13CO
