|     numerator|denominator|                 ratio|            filename|     z|                                              title|losangle|avperp|
|          char|       char|                  char|                char|double|                                               char|    long|  long|
|              |           |                      |                    |      |                                               null|        |      |
|          null|       null|                  null|                null|  null|                                               null|    null|  null|
        CO_1615       CO_65          CO_1615/CO_65        CO1615_CO65sm    1.0                             CO(J=16-15) / CO(J=6-5)       75      3 
        CO_1716       CO_54          CO_1716/CO_54        CO1716_CO54sm    1.0                             CO(J=17-16) / CO(J=5-4)       75      3 
        CO_1716       CO_65          CO_1716/CO_65        CO1716_CO65sm    1.0                             CO(J=17-16) / CO(J=6-5)       75      3 
        CO_1817       CO_54          CO_1817/CO_54        CO1817_CO54sm    1.0                             CO(J=18-17) / CO(J=5-4)       75      3 
        CO_1817       CO_65          CO_1817/CO_65        CO1817_CO65sm    1.0                             CO(J=18-17) / CO(J=6-5)       75      3 
        13CO_10       CO_10          13CO_10/CO_10        13CO10_CO10sm    1.0                        $^{13}$CO(J=1-0) / CO(J=1-0)       75      3 
        13CO_21       CO_21          13CO_21/CO_21        13CO21_CO21sm    1.0                        $^{13}$CO(J=2-1) / CO(J=2-1)       75      3 
        13CO_32       CO_21          13CO_32/CO_21        13CO32_CO21sm    1.0                        $^{13}$CO(J=3-2) / CO(J=2-1)       75      3 
        13CO_43       CO_21          13CO_43/CO_21        13CO43_CO21sm    1.0                        $^{13}$CO(J=4-3) / CO(J=2-1)       75      3 
        13CO_54       CO_21          13CO_54/CO_21        13CO54_CO21sm    1.0                        $^{13}$CO(J=5-4) / CO(J=2-1)       75      3 
        13CO_65       CO_21          13CO_65/CO_21        13CO65_CO21sm    1.0                        $^{13}$CO(J=6-5) / CO(J=2-1)       75      3 
        13CO_76       CO_21          13CO_76/CO_21        13CO76_CO21sm    1.0                        $^{13}$CO(J=7-6) / CO(J=2-1)       75      3 
        13CO_32     13CO_10        13CO_32/13CO_10      13CO32_13CO10sm    1.0                 $^{13}$CO(J=3-2) / $^{13}$CO(J=1-0)       75      3 
         H200S2      H200S0          H200S2/H200S0      H200S2_H200S0sm    1.0 H$_2$0-0S(2) 12.3 $\mu$m / H$_2$0-0S(0) 28.2 $\mu$m       75      3 
         H200S2      H200S1          H200S2/H200S1      H200S2_H200S1sm    1.0   H$_2$0-0S(2) 12.3 $\mu$m / H$_2$0-0S(1) 17 $\mu$m       75      3 
         H200S3      H200S0          H200S3/H200S0      H200S3_H200S0sm    1.0  H$_2$0-0S(3) 9.7 $\mu$m / H$_2$0-0S(0) 28.2 $\mu$m       75      3 
         H200S3      H200S1          H200S3/H200S1      H200S3_H200S1sm    1.0    H$_2$0-0S(3) 9.7 $\mu$m / H$_2$0-0S(1) 17 $\mu$m       75      3 
         H200S3      H200S2          H200S3/H200S2      H200S3_H200S2sm    1.0  H$_2$0-0S(3) 9.7 $\mu$m / H$_2$0-0S(2) 12.3 $\mu$m       75      3 
         H221S1      H210S1          H221S1/H210S1      H221S1_H210S1sm    1.0 H$_2$2-1S(1) 2.24 $\mu$m / H$_2$1-0S(1) 2.12 $\mu$m       75      3 
         CI_609           1                 CI_609              CI609sm    1.0                                    [C I] 609 $\mu$m       75      3 
        CII_158           1                CII_158             CII158sm    1.0                                   [C II] 158 $\mu$m       75      3 
          OI_63           1                  OI_63               OI63sm    1.0                                     [O I] 63 $\mu$m       75      3 
         OI_145           1                 OI_145              OI145sm    1.0                                    [O I] 145 $\mu$m       75      3 
          CO_10           1                  CO_10               CO10sm    1.0                                           CO(J=1-0)       75      3 
          CO_21           1                  CO_21               CO21sm    1.0                                           CO(J=2-1)       75      3 
          CO_32           1                  CO_32               CO32sm    1.0                                           CO(J=3-2)       75      3 
          CO_43           1                  CO_43               CO43sm    1.0                                           CO(J=4-3)       75      3 
          CO_54           1                  CO_54               CO54sm    1.0                                           CO(J=5-4)       75      3 
          CO_65           1                  CO_65               CO65sm    1.0                                           CO(J=6-5)       75      3 
