|        ID|    Wave|  vu|  Ju| Fs140|e_Fs140|Fngc2023|e_Fngc2023| Fic63|e_Fic63|Fhorse|e_Fhorse|Forionbar|e_Forionbar|Transition|    Line|
|      char|  double|long|long|double| double|  double|    double|double| double|double|  double|   double|     double|      char|    char|
|          |        |    |    |      |       |        |          |      |       |      |        |         |           |          |        |
|      null|    null|null|null|  null|   null|    null|      null|  null|   null|  null|    null|     null|       null|      null|    null|
  3-1 Q(13) 1.502463    3   13   null    null     null       null   null    null   null     null     0.123       0.007  3-1 Q(13)  H231Q13 
  3-1 Q(15) 1.568584    3   15   null    null    0.042      0.004   null    null   null     null      null        null  3-1 Q(15)  H231Q15 
   4-2 O(2) 1.461133    4    0  0.905   0.054    0.714      0.048  0.787   0.071   null     null      null        null   4-2 O(2)   H242O2 
   4-2 O(3) 1.509865    4    1    1.0   0.062      1.0       0.07    1.0    0.09    1.0    0.048       1.0       0.044   4-2 O(3)   H242O3 
   4-2 O(4) 1.563515    4    2  0.536   0.035    0.442      0.032  0.505   0.047  0.685    0.035     0.336       0.016   4-2 O(4)   H242O4 
   4-2 O(5) 1.622299    4    3  0.438    0.03    0.469      0.036  0.436   0.042  0.517    0.032      0.48       0.025   4-2 O(5)   H242O5 
   4-2 O(6) 1.686462    4    4  0.106   0.008    0.105      0.009  0.104   0.011   null     null     0.094       0.006   4-2 O(6)   H242O6 
   4-2 O(7) 1.756281    4    5  0.072   0.006    0.115       0.01  0.095    0.01   null     null     0.182       0.011   4-2 O(7)   H242O7 
   4-3 S(3) 2.344453    4    5  0.208   0.021    0.277      0.029  0.239   0.029   null     null     0.448       0.039   4-3 S(3)   H243S3 
   4-3 S(4) 2.266764    4    6  0.072   0.009    0.089       0.01   null    null   null     null     0.094       0.009   4-3 S(4)   H243S4 
   4-3 S(5) 2.200974    4    7  0.078   0.008    0.135      0.014   0.11   0.014   null     null     0.199       0.016   4-3 S(5)   H243S5 
   4-2 Q(7) 1.459195    4    7   null    null    0.377      0.026  0.297   0.036   null     null     0.548       0.026   4-2 Q(7)   H242Q7 
   4-2 Q(8) 1.477736    4    8  0.084   0.007     null       null   null    null   null     null      null        null   4-2 Q(8)   H242Q8 
   4-3 S(6) 2.145873    4    8  0.018   0.003    0.032      0.004  0.022   0.005   null     null     0.046       0.004   4-3 S(6)   H243S6 
   4-3 S(7) 2.100426    4    9  0.016   0.003    0.038      0.004  0.032   0.006  0.109    0.012     0.062       0.005   4-3 S(7)   H243S7 
  4-2 O(11) 2.099586    4    9   null    null    0.017      0.002   null    null   null     null     0.021       0.003  4-2 O(11)  H242O11 
   4-2 Q(9) 1.498876    4    9    0.1   0.007      0.2      0.014  0.115   0.012   null     null     0.276       0.013   4-2 Q(9)   H242Q9 
  4-2 Q(11) 1.549455    4   11  0.052   0.004    0.107      0.008  0.088   0.009   null     null     0.152       0.007  4-2 Q(11)  H242Q11 
  4-2 Q(12) 1.579217    4   12   null    null    0.031      0.003   null    null   null     null      null        null  4-2 Q(12)  H242Q12 
  4-2 Q(13) 1.612237    4   13   null    null     0.06      0.005   null    null   null     null      null        null  4-2 Q(13)  H242Q13 
  4-2 Q(14) 1.648782    4   14   null    null    0.011      0.002   null    null   null     null      null        null  4-2 Q(14)  H242Q14 
  4-2 Q(15) 1.689178    4   15   null    null    0.023      0.002   null    null   null     null      null        null  4-2 Q(15)  H242Q15 
  4-3 S(17) 2.047446    4   19   null    null    0.017      0.002   null    null   null     null      null        null  4-3 S(17)  H243S17 
   5-3 O(2) 1.560736    5    0  0.577   0.038    0.463      0.034  0.572   0.053  0.791     0.04     0.304       0.015   5-3 O(2)   H253O2 
   5-3 O(3)  1.61352    5    1  0.761   0.052    0.622      0.047  0.722   0.069  0.716     0.04      0.63       0.032   5-3 O(3)   H253O3 
   5-3 Q(1) 1.492933    5    1  1.139    0.07     null       null  1.318   0.118   null     null     0.835       0.037   5-3 Q(1)   H253Q1 
   5-3 O(4) 1.671813    5    2  0.393   0.028    0.329      0.026  0.332   0.033  0.566    0.034     0.214       0.012   5-3 O(4)   H253O4 
   5-3 Q(2) 1.497982    5    2  0.544   0.034    0.467      0.033  0.554    0.05   null     null      null        null   5-3 Q(2)   H253Q2 
   5-3 Q(3) 1.505588    5    3   null    null    0.712       0.05   null    null   null     null     0.617       0.028   5-3 Q(3)   H253Q3 
   5-3 O(5) 1.735889    5    3  0.274   0.021     null       null  0.265   0.027  0.526    0.045      null        null   5-3 O(5)   H253O5 
   5-3 Q(4) 1.515791    5    4  0.274   0.017    0.252      0.018  0.262   0.024   null     null     0.239       0.011   5-3 Q(4)   H253Q4 
   5-3 Q(5) 1.528648    5    5  0.268   0.017    0.383      0.027  0.387   0.036   null     null     0.492       0.023   5-3 Q(5)   H253Q5 
   5-3 O(8) 1.966206    5    6   null    null    0.029      0.003   null    null   null     null     0.032       0.004   5-3 O(8)   H253O8 
   5-3 Q(6) 1.544231    5    6   0.07   0.006    0.142      0.011  0.129   0.015   null     null      null        null   5-3 Q(6)   H253Q6 
   5-4 S(4) 2.424758    5    6   null    null    0.029      0.004   null    null   null     null     0.035       0.006   5-4 S(4)   H254S4 
   5-3 O(9) 2.057127    5    7  0.033   0.004    0.039      0.004  0.041   0.007   null     null     0.049       0.005   5-3 O(9)   H253O9 
   5-3 Q(7) 1.562635    5    7  0.131   0.009    0.229      0.017  0.184   0.018   null     null     0.289       0.014   5-3 Q(7)   H253Q7 
   5-3 Q(8) 1.583975    5    8   null    null    0.073      0.006  0.069   0.009   null     null      null        null   5-3 Q(8)   H253Q8 
   5-3 Q(9) 1.608398    5    9  0.093   0.007    0.132       0.01   0.12   0.012   null     null      null        null   5-3 Q(9)   H253Q9 
  5-3 Q(11) 1.667248    5   11   null    null    0.069      0.006  0.057   0.008   null     null     0.073       0.005  5-3 Q(11)  H253Q11 
  5-4 S(13) 2.152833    5   15   null    null    0.017      0.002   null    null   null     null      null        null  5-4 S(13)  H254S13 
   6-4 O(2) 1.675032    6    0  0.419    0.03    0.329      0.026  0.374   0.037  0.609    0.035     0.199       0.011   6-4 O(2)   H264O2 
   6-4 O(3) 1.732641    6    1  0.529    0.04    0.494      0.041  0.485   0.049   null     null     0.433       0.025   6-4 O(3)   H264O3 
   6-4 Q(1) 1.601534    6    1   0.66   0.045     0.65      0.049   0.67   0.064   null     null     0.471       0.024   6-4 Q(1)   H264Q1 
   6-4 Q(2)  1.60739    6    2  0.461   0.032    0.354      0.027  0.363   0.035  0.645    0.035     0.214       0.011   6-4 Q(2)   H264Q2 
   6-4 S(0) 1.536891    6    2  0.355   0.023    0.298      0.021  0.339   0.031   0.63    0.032     0.196       0.009   6-4 S(0)   H264S0 
   6-4 O(4) 1.796524    6    2  0.384   0.031     0.31      0.027  0.349   0.037  0.547    0.042     0.186       0.012   6-4 O(4)   H264O4 
   6-4 S(1)  1.50156    6    3  0.588   0.036    0.586      0.041  0.574   0.052  0.539    0.029     0.527       0.023   6-4 S(1)   H264S1 
   6-4 Q(3) 1.616224    6    3  0.362   0.025    0.388       0.03  0.355   0.034  0.352    0.021      0.35       0.018   6-4 Q(3)   H264Q3 
   6-4 Q(4) 1.628094    6    4  0.139    0.01     0.15      0.012  0.161   0.016   null     null      0.12       0.007   6-4 Q(4)   H264Q4 
   6-4 Q(5) 1.643084    6    5  0.164   0.012    0.205      0.016   null    null   null     null     0.221       0.012   6-4 Q(5)   H264Q5 
   6-4 O(7) 2.029684    6    5  0.077   0.007      0.1       0.01  0.091   0.011   null     null     0.097       0.008   6-4 O(7)   H264O7 
   6-4 O(8) 2.122901    6    6  0.026   0.003     null       null   null    null   null     null      null        null   6-4 O(8)   H264O8 
   6-4 Q(6) 1.661304    6    6   null    null    0.077      0.006   null    null   null     null     0.078       0.005   6-4 Q(6)   H264Q6 
