|     numerator|denominator|              ratio|         filename|   z | title                                                                    |
|          char|       char|               char|             char|float| char                                                                     |
|              |           |                   |                 |     |                                                                          |
|          null|       null|               null|             null|null | null                                                                     |
        CO_1312       CO_65       CO_1312/CO_65       co131265web    1   CO(J=13-12) / CO(J=6-5)
        CO_1413       CO_54       CO_1413/CO_54       co141354web    1   CO(J=14-13) / CO(J=5-4)
        CO_1413       CO_65       CO_1413/CO_65       co141365web    1   CO(J=14-13) / CO(J=6-5)
        CI_609          FIR          CI_609/FIR       ci609firweb    1   [C I] 609 $\mu$m / I$_{FIR}$
  OI_63+CII_158         FIR   OI_63+CII_158/FIR            firweb    1   ([O I] 63 $\mu$m + [C II] 158 $\mu$m) / I$_{FIR}$
 OI_145+CII_158         FIR  OI_145+CII_158/FIR       firoi145web    1   ([O I] 145 $\mu$m + [C II] 158 $\mu$m) / I$_{FIR}$
         CI_609           1              CI_609             ciweb    1   [C I] 609 $\mu$m 
        CII_158           1             CII_158             cpweb    1   [C II] 158 $\mu$m
         OI_145           1              OI_145          oi145web    1   [O I] 145 $\mu$m
          OI_63           1               OI_63           oi63web    1   [O I] 63 $\mu$m
          CO_10           1               CO_10             coweb    1   CO(J=1-0)
          CO_21           1               CO_21           co21web    1   CO(J=2-1)
          CO_43           1               CO_43           co43web    1   CO(J=4-3)
          CO_54           1               CO_54           co54web    1   CO(J=5-4)
          CO_65           1               CO_65           co65web    1   CO(J=6-5)
          CO_76           1               CO_76           co76web    1   CO(J=7-6)
            FIR           1                 FIR     fir-singleweb    1   I$_{FIR}$ 28.2 - 3100 $\mu$m
